DEPARTAMENTO,DIA
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
CUNDINAMARCA,MIERCOLES
GUAJIRA,MIERCOLES
GUAJIRA,MIERCOLES
GUAJIRA,MIERCOLES
GUAJIRA,MIERCOLES
HUILA,MIERCOLES
HUILA,MIERCOLES
HUILA,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
META,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NARINHO,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
NORTE DE SANTANDER,MIERCOLES
PUTUMAYO,MIERCOLES
PUTUMAYO,MIERCOLES
PUTUMAYO,MIERCOLES
PUTUMAYO,MIERCOLES
QUINDIO,MIERCOLES
QUINDIO,MIERCOLES
QUINDIO,MIERCOLES
QUINDIO,MIERCOLES
RISARALDA,MIERCOLES
RISARALDA,MIERCOLES
RISARALDA,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
VALLE,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SANTANDER,MIERCOLES
SUCRE,MIERCOLES
SUCRE,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
TOLIMA,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VALLE,MIERCOLES
VICHADA,MIERCOLES
AMAZONAS,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ANTIOQUIA,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
ATLANTICO,JUEVES
BOYACA,JUEVES
BOYACA,JUEVES
BOYACA,JUEVES
BOYACA,JUEVES
BOYACA,JUEVES
BOYACA,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CALDAS,JUEVES
CAQUETA,JUEVES
CAQUETA,JUEVES
CAQUETA,JUEVES
CAQUETA,JUEVES
CASANARE,JUEVES
CASANARE,JUEVES
CASANARE,JUEVES
CASANARE,JUEVES
CAUCA,JUEVES
CESAR,JUEVES
CESAR,JUEVES
CESAR,JUEVES
CORDOBA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
CUNDINAMARCA,JUEVES
