MUNICIPIO,ARMA
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,SIN EMPLEO DE ARMAS
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
ALVARADO,SIN EMPLEO DE ARMAS
CAJAMARCA,SIN EMPLEO DE ARMAS
ESPINAL,SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CANDELARIA,ARMA DE FUEGO
CANDELARIA,ARMA DE FUEGO
CANDELARIA,SIN EMPLEO DE ARMAS
GUADALAJARA DE BUGA,SIN EMPLEO DE ARMAS
JAMUNDI,CONTUNDENTES
PALMIRA,SIN EMPLEO DE ARMAS
PALMIRA,ARMA BLANCA / CORTOPUNZANTE
PALMIRA,ARMA DE FUEGO
SEVILLA,ARMA BLANCA / CORTOPUNZANTE
BARBOSA,ARMA DE FUEGO
BELLO,ARMA DE FUEGO
CAUCASIA,ARMA DE FUEGO
CISNEROS,ARMA DE FUEGO
COPACABANA,ARMA DE FUEGO
ITAGUI,ARMA BLANCA / CORTOPUNZANTE
ITAGUI,SIN EMPLEO DE ARMAS
ITAGUI,ARMA DE FUEGO
ITAGUI,SIN EMPLEO DE ARMAS
MARINILLA,SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
CALARCA,CONTUNDENTES
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
RETIRO,SIN EMPLEO DE ARMAS
RIONEGRO,ARMA DE FUEGO
RIONEGRO,SIN EMPLEO DE ARMAS
RIONEGRO,ARMA BLANCA / CORTOPUNZANTE
RIONEGRO,ARMA BLANCA / CORTOPUNZANTE
SABANETA,ARMA DE FUEGO
SANTO DOMINGO,ARMA DE FUEGO
SANTO DOMINGO,ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
