MUNICIPIO,MARCA
BECERRIL,OTRA
VALLEDUPAR (CT),MOTOROLA
VALLEDUPAR (CT),SAMSUNG
MONTERIA (CT),-
AGUA DE DIOS,HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),OTRA
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),MOTOROLA
FUSAGASUGA,SONY
SOACHA,HUAWEI
SAN JOSE DEL GUAVIARE (CT),SONY
NEIVA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),AZUMI
NEIVA (CT),MOTOROLA
PITALITO,SAMSUNG
PITALITO,SAMSUNG
SANTA MARTA (CT),MOTOROLA
SANTA MARTA (CT),ASUS
SANTA MARTA (CT),ASUS
SANTA MARTA (CT),NOKIA
PUERTO LOPEZ,SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),ZTE
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),MOTOROLA
IPIALES,HUAWEI
IPIALES,SAMSUNG
IPIALES,LENOVO
IPIALES,MOTOROLA
IPIALES,-
IPIALES,SAMSUNG
IPIALES,SAMSUNG
IPIALES,SAMSUNG
PASTO (CT),NOKIA
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),LG
CUCUTA (CT),MOTOROLA
CUCUTA (CT),SAMSUNG
CUCUTA (CT),APPLE
CUCUTA (CT),APPLE
LOS PATIOS,ALCATEL
OCANHA,MOTOROLA
OCANHA,SAMSUNG
MOCOA (CT),HUAWEI
ARMENIA (CT),APPLE
CALARCA,MOTOROLA
PEREIRA (CT),AVVIO
PEREIRA (CT),SAMSUNG
PEREIRA (CT),SAMSUNG
PEREIRA (CT),-
PEREIRA (CT),SAMSUNG
PEREIRA (CT),MOTOROLA
PEREIRA (CT),SAMSUNG
SANTA ROSA DE CABAL,LANIX
SANTA ROSA DE CABAL,OTRA
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,HUAWEI
