BARRIO,SEXO
SAN LUIS E6,MASCULINO
CRISTOBAL COLON E10,FEMENINO
PARCELACIONES PANCE E22,FEMENINO
ALAMEDA E9,FEMENINO
PARCELACIONES PANCE E22,FEMENINO
ALFONSO BARBERENA E12,MASCULINO
EL INGENIO E17,FEMENINO
ALFONSO B. ARAGON E14,FEMENINO
SAN FERNANDO VIEJO E19,MASCULINO
EL SENA E5,MASCULINO
PARCELACIONES PANCE E22,MASCULINO
PRIMERO DE MAYO E17,MASCULINO
PANAMERICANO (23-2),FEMENINO
VIA CENCAR - AEREOPUERTO,MASCULINO
FRANCISCANOS,FEMENINO
LAS DELICIAS,FEMENINO
VIA YUMBO DAPA (25-8),MASCULINO
VIA YUMBO DAPA (25-8),MASCULINO
BELALCAZAR E25,FEMENINO
SIMON BOLIVAR,FEMENINO
CENTRO (LETICIA),FEMENINO
PARQUE PRINCIPAL,MASCULINO
LA MADERA,MASCULINO
SANTA MARIA # 3,FEMENINO
LA CIUDADELA,FEMENINO
LA CIUDADELA,FEMENINO
CAMPO VALDES 1  C-4,MASCULINO
LA CANDELARIA C-10,FEMENINO
ARANJUEZ  C-4,MASCULINO
BARRIO COLOMBIA C-14,FEMENINO
CERRO EL VOLADOR C-7,MASCULINO
ENCISO C-8,MASCULINO
PROGRESO 2 C-6,FEMENINO
VILLANUEVA C-10,MASCULINO
PRADO C-10,MASCULINO
SEVILLA  C-4,MASCULINO
EL DIAMANTE C-7,MASCULINO
LA PINHUELA  C-4,MASCULINO
EL TESORO C-14,MASCULINO
CONQUISTADORES C-11,FEMENINO
LAURELES C-11,MASCULINO
PRADO C-10,MASCULINO
LA CASTELLANA C-11,MASCULINO
LA CANDELARIA C-10,MASCULINO
MANILA C-14,FEMENINO
NARANJAL C-11,MASCULINO
PRADO C-10,FEMENINO
SEVILLA  C-4,MASCULINO
LA CANDELARIA C-10,FEMENINO
BOMBONA 1 C-10,FEMENINO
SEVILLA  C-4,MASCULINO
REMANSOS,FEMENINO
TABLAZO,MASCULINO
TABLAZO,MASCULINO
LAS CABANHAS,FEMENINO
EL ROSARIO,MASCULINO
LA VICTORIA,FEMENINO
CENTRO,FEMENINO
7 DE ABRIL,MASCULINO
CENTRO,MASCULINO
VDA. RESGUARDO,FEMENINO
PLAZA DE TOROS,MASCULINO
ONDAS DE OTUN,FEMENINO
FUNDADORES,MASCULINO
ARBOLEDA,FEMENINO
CENTRO,MASCULINO
SECTOR EL CABLE,MASCULINO
EL PORVENIR,FEMENINO
LA VEGA,MASCULINO
RICAURTE,FEMENINO
TORASSO,FEMENINO
TORASSO,MASCULINO
CENTRO,FEMENINO
OLAYA HERRERA,FEMENINO
EL CARMEN,FEMENINO
FERIA GANADERA,FEMENINO
ZONA MINERA,FEMENINO
JULIO FIGUEROA VILLA,MASCULINO
VEREDA SANTA ANA,FEMENINO
LAS AGUAS E-17,FEMENINO
URB. PALENQUE E-8,FEMENINO
TEUSAQUILLO E-13,FEMENINO
VILLA NELLY E-8,MASCULINO
GALERIAS E-13,FEMENINO
LA MACARENA E-3,MASCULINO
PASADENA ROYAL E-11,MASCULINO
LA CASTELLANA E-12,FEMENINO
LA CASTELLANA E-12,MASCULINO
CIUDAD JARDIN SUR E-15,MASCULINO
BILBAO E-11,MASCULINO
ESTADOS UNIDOS   E-8,MASCULINO
IBERIA E-11,MASCULINO
CHICO NORTE I E-2,FEMENINO
SUBA CENTRO E-11,FEMENINO
GUSTAVO RESTREPO E-18,FEMENINO
EL PLAYON - LA PLAYITA III E-18,FEMENINO
