BARRIO,MOVILAGRESOR
CENTRO,A PIE
CENTRO,A PIE
PIAMONTE,A PIE
CENTRO,A PIE
CENTRO,A PIE
MONTECARLO,MOTOCICLETA
GAVIOTAS,A PIE
CENTRO,A PIE
VEREDA APIAY,MOTOCICLETA
20 DE JULIO,A PIE
CENTRO,A PIE
SAN FELIPE,A PIE
CENTRO,A PIE
20 DE JULIO,A PIE
20 DE JULIO,A PIE
CENTRO,A PIE
OBRERO,A PIE
SANTANDER,TRANSPORTE PUBLICO
CENTRO,A PIE
EMILIO BOTERO,MOTOCICLETA
SAN ANDRES,A PIE
CENTRO,A PIE
CENTRO,A PIE
PANORAMICO I ETAPA,MOTOCICLETA
CENTRO,A PIE
BARRIO CALLEJON,A PIE
BARRIO BELLAVISTA,A PIE
SUBESTACION SAN JUAN DE VILLALOBOS,A PIE
EL CENTRO,A PIE
NUEVA ARMENIA,MOTOCICLETA
ACACIAS,A PIE
BOSQUES DE PINARES,A PIE
CENTRO,A PIE
BUENOS AIRES,A PIE
SAGUANES,MOTOCICLETA
SAN DIEGO,MOTOCICLETA
BAYRON GAVIRIA,BICICLETA
TURIN,A PIE
VDA. EL MANZANO,A PIE
SANTA TERESITA,A PIE
SECTOR PARQUE EL LAGO,A PIE
ALFONSO LOPEZ,A PIE
B. SAN FRANCISCO,A PIE
GALAN GOMEZ,A PIE
NARINHO,A PIE
NARINHO,A PIE
CENTRO,A PIE
CLAVERIANO,TRANSPORTE PUBLICO
RONDON,A PIE
ASOBETANIA,A PIE
VILLA ANGELICA,MOTOCICLETA
KENEDY,A PIE
CENTRO,A PIE
JARDIN II ETAPA,A PIE
JORDAN MUTIFAMILIARES,A PIE
ONZAGA,A PIE
LA MANSION,A PIE
KENEDY,A PIE
MACARENA ALTA,A PIE
EL JORDAN,A PIE
LOS LAGOS E13,A PIE
MORICHAL DE COMFANDI E15,BICICLETA
SAN LUIS E6,TRANSPORTE PUBLICO
CRISTOBAL COLON E10,MOTOCICLETA
PARCELACIONES PANCE E22,A PIE
ALAMEDA E9,A PIE
PARCELACIONES PANCE E22,A PIE
ALFONSO BARBERENA E12,A PIE
EL INGENIO E17,MOTOCICLETA
ALFONSO B. ARAGON E14,MOTOCICLETA
SAN FERNANDO VIEJO E19,A PIE
EL SENA E5,MOTOCICLETA
PARCELACIONES PANCE E22,MOTOCICLETA
PRIMERO DE MAYO E17,MOTOCICLETA
PANAMERICANO (23-2),A PIE
VIA CENCAR - AEREOPUERTO,VEHICULO
FRANCISCANOS,MOTOCICLETA
LAS DELICIAS,MOTOCICLETA
VIA YUMBO DAPA (25-8),A PIE
VIA YUMBO DAPA (25-8),A PIE
BELALCAZAR E25,A PIE
SIMON BOLIVAR,A PIE
CENTRO (LETICIA),MOTOCICLETA
PARQUE PRINCIPAL,A PIE
LA MADERA,A PIE
SANTA MARIA # 3,MOTOCICLETA
LA CIUDADELA,A PIE
LA CIUDADELA,A PIE
CAMPO VALDES 1  C-4,MOTOCICLETA
LA CANDELARIA C-10,A PIE
ARANJUEZ  C-4,TRANSPORTE PUBLICO
BARRIO COLOMBIA C-14,A PIE
CERRO EL VOLADOR C-7,A PIE
ENCISO C-8,A PIE
PROGRESO 2 C-6,MOTOCICLETA
VILLANUEVA C-10,A PIE
PRADO C-10,A PIE
SEVILLA  C-4,A PIE
EL DIAMANTE C-7,A PIE
LA PINHUELA  C-4,A PIE
EL TESORO C-14,MOTOCICLETA
CONQUISTADORES C-11,MOTOCICLETA
LAURELES C-11,A PIE
PRADO C-10,MOTOCICLETA
LA CASTELLANA C-11,MOTOCICLETA
LA CANDELARIA C-10,MOTOCICLETA
MANILA C-14,A PIE
NARANJAL C-11,A PIE
PRADO C-10,A PIE
SEVILLA  C-4,A PIE
LA CANDELARIA C-10,A PIE
BOMBONA 1 C-10,MOTOCICLETA
SEVILLA  C-4,A PIE
REMANSOS,A PIE
TABLAZO,A PIE
TABLAZO,A PIE
LAS CABANHAS,A PIE
EL ROSARIO,A PIE
LA VICTORIA,MOTOCICLETA
CENTRO,A PIE
7 DE ABRIL,MOTOCICLETA
CENTRO,A PIE
VDA. RESGUARDO,MOTOCICLETA
PLAZA DE TOROS,A PIE
ONDAS DE OTUN,A PIE
FUNDADORES,A PIE
ARBOLEDA,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
EL PORVENIR,MOTOCICLETA
LA VEGA,A PIE
RICAURTE,MOTOCICLETA
TORASSO,MOTOCICLETA
TORASSO,MOTOCICLETA
CENTRO,A PIE
OLAYA HERRERA,A PIE
EL CARMEN,A PIE
FERIA GANADERA,MOTOCICLETA
ZONA MINERA,A PIE
JULIO FIGUEROA VILLA,MOTOCICLETA
VEREDA SANTA ANA,MOTOCICLETA
LAS AGUAS E-17,A PIE
URB. PALENQUE E-8,A PIE
TEUSAQUILLO E-13,A PIE
VILLA NELLY E-8,A PIE
GALERIAS E-13,A PIE
LA MACARENA E-3,A PIE
PASADENA ROYAL E-11,BICICLETA
LA CASTELLANA E-12,A PIE
LA CASTELLANA E-12,A PIE
CIUDAD JARDIN SUR E-15,A PIE
BILBAO E-11,A PIE
ESTADOS UNIDOS   E-8,A PIE
IBERIA E-11,TRANSPORTE PUBLICO
CHICO NORTE I E-2,A PIE
SUBA CENTRO E-11,A PIE
GUSTAVO RESTREPO E-18,A PIE
EL PLAYON - LA PLAYITA III E-18,TRANSPORTE PUBLICO
ENTRERIOS E-12,A PIE
QUIRIGUA I E-10,A PIE
"LA SOLEDAD, SAN JOSE NORTE E-10",MOTOCICLETA
BOSQUES DE SAN JOSE E-18,A PIE
VILLA CLEMENCIA E-7,A PIE
EL RECREO E-7,MOTOCICLETA
LAS MARGARITAS E-7,A PIE
CENTRO,A PIE
CENTRO,A PIE
EL CARMEN,MOTOCICLETA
EL CARMEN,MOTOCICLETA
LA VICTORIA,MOTOCICLETA
RAFAEL AZUERO MANCHOLA,A PIE
LUIS CARLOS GALAN ETAPA I,A PIE
ENRIQUE OLAYA HERRERA,A PIE
VILLA MELIDA,A PIE
RELIQUIA,A PIE
BARZAL BAJO,A PIE
DONHA LUZ,A PIE
REMANSO,A PIE
VILLA JULIA,A PIE
LLANO LINDO,A PIE
JORDAN,A PIE
ESTERO,A PIE
CAMINO REAL,A PIE
MACUNAIMA,A PIE
COMUNEROS,-
ESTERO,A PIE
SANTANDER,A PIE
CENTRO,A PIE
GOLGOTA,A PIE
OBRERO,A PIE
20 DE JULIO,A PIE
LORENZO,MOTOCICLETA
LORENZO,MOTOCICLETA
MORASURCO,A PIE
SAN JUAN BOSCO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
AV. CHAMPAGNAT,A PIE
CENTRO,A PIE
NIZA III,A PIE
ESTADIO LIBERTAD,A PIE
LORENZO,A PIE
PLAZA DEL CARNAVAL,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
EL MORRO,MOTOCICLETA
SAN JUAN,A PIE
BARRIO LOS PINOS,A PIE
BARRIO LA PLAYA,A PIE
BARRIO SAN JOSE,MOTOCICLETA
BARRIO LA LIBERTAD,A PIE
BARRIO SIMON BOLIVAR,A PIE
BARRIO CENTRO,A PIE
PABLO VI,A PIE
CENTRO,A PIE
