BARRIO,MOVILAGRESOR
LOMA DE LAS BRUJAS,A PIE
LAS ANTILLAS,MOTOCICLETA
LA SEBASTIANA,VEHICULO
VDA. LA MARIA,A PIE
PICACHO C-6,A PIE
CALLE NUEVA C-10,A PIE
ROSALES C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
MANRIQUE 2  C-3,A PIE
LA MOTA C-16,A PIE
LA MOTA C-16,A PIE
CARIBE C-5,TRANSPORTE PUBLICO
PERPETUO SOCORRO C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,MOTOCICLETA
DOCE DE OCTUBRE 2 C-6,A PIE
SIMESA C-14,A PIE
LA AMERICA C-12,MOTOCICLETA
LA AMERICA C-12,MOTOCICLETA
ALFONSO LOPEZ C-5,MOTOCICLETA
HECTOR ABAD GOMEZ C-5,TRANSPORTE PUBLICO
EL CENTRO,A PIE
SAN ISIDRO,MOTOCICLETA
PRADO,MOTOCICLETA
CHIQUINQUIRA,A PIE
SANTA ANA,MOTOCICLETA
SAN FELIPE,A PIE
NELSON MANDELA,A PIE
SAN ISIDRO,MOTOCICLETA
BARRIO OBRERO,A PIE
SAN JOAQUIN,A PIE
EL JAZMIN,A PIE
BARRIO CIUDAD JARDIN,A PIE
CENTRO,A PIE
EL CENTRO,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LA NEVADA,A PIE
LOS MAYALES,MOTOCICLETA
URB. VILLA TAYRONA,MOTOCICLETA
VILLA CLARA,TRANSPORTE PUBLICO
EL RETIRO DE LOS INDIOS,A PIE
EL BOSQUE,MOTOCICLETA
EL DORADO,MOTOCICLETA
COSTA DE ORO,MOTOCICLETA
NUEVA GLORIA E-4,TRANSPORTE PUBLICO
OLARTE E-7,MOTOCICLETA
LOS HAYUELOS E-9,A PIE
URB. SAN CARLOS E-6,A PIE
PALOQUEMAO E-14,TRANSPORTE PUBLICO
ALQUERIA DE LA FRAGUA DEL ISS E-8,MOTOCICLETA
PATIO BONITO I E-8,A PIE
ALQUERIA LA FRAGUA E-8,MOTOCICLETA
CHAPINERO CENTRAL E-2,TRANSPORTE PUBLICO
METROPOLIS OCCIDENTAL E-10,MOTOCICLETA
SAN DIEGO E-3,A PIE
SAN MARTIN E-3,A PIE
LAS AGUAS E-3,A PIE
BOSA CENTRO E-7,MOTOCICLETA
7 DE AGOSTO E-12,TRANSPORTE PUBLICO
URB. PUENTE ARANDA E-16,A PIE
SAN ANTONIO E-15,A PIE
TEUSAQUILLO E-13,A PIE
VILLAS DE ARANJUEZ E-1,A PIE
GRAN BRITALIA E-8,A PIE
MODELIA E-9,A PIE
SUBA CENTRO E-11,TRANSPORTE PUBLICO
LA VERACRUZ E-3,A PIE
CONTADOR E-1,A PIE
MARLY E-2,A PIE
BOSA E-7,A PIE
URB. PUENTE ARANDA E-16,A PIE
MARIA PAZ E-8,A PIE
TEUSAQUILLO E-13,TRANSPORTE PUBLICO
EL PORVENIR E-5,A PIE
BOSA CARBONEL II E-7,A PIE
EL DESCANSO E-8,MOTOCICLETA
CIUDAD DE CALI E-8,A PIE
SAN CARLOS PREDIO SAN JOSE E-6,BICICLETA
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
PARAISO,MOTOCICLETA
CALANCALA,MOTOCICLETA
COOPERATIVO,MOTOCICLETA
16 DE JULIO,A PIE
CENTRO,A PIE
CENTRO,A PIE
SEVILLA,A PIE
VILLA DE SAN ROQUE,A PIE
ANTONIO PINILLA,MOTOCICLETA
VISCAYA,MOTOCICLETA
BARZAL BAJO,A PIE
CAMOA,A PIE
ANTONIO PINILLA,MOTOCICLETA
LAS VIOLETAS I,MOTOCICLETA
FATIMA,MOTOCICLETA
IDEMA,MOTOCICLETA
BARRIO CUCUTA 75,A PIE
BARRIO DIVINA PASTORA,A PIE
CENTRO,A PIE
GIBRALTAR,MOTOCICLETA
URBANIZACION SINAI,MOTOCICLETA
LA ROMELIA,A PIE
GUADALUPE,MOTOCICLETA
LOS NARANJOS,A PIE
LA DULCERA,MOTOCICLETA
SECTOR PUENTES DE LA 9A CON 12,MOTOCICLETA
SECTOR PLAZA DE BOLIVAR,MOTOCICLETA
LOS CORALES,A PIE
GARCIA ROVIRA,A PIE
KENNEDY,A PIE
LA AURORA,A PIE
MERCEDES,A PIE
SOTOMAYOR,A PIE
LA AURORA,A PIE
CABECERA DEL LLANO,MOTOCICLETA
BUENAVISTA,A PIE
SOTOMAYOR,A PIE
LOS LAGOS,A PIE
POBLADO,MOTOCICLETA
CENTRO P/TA,A PIE
PASEO DEL PUENTE,MOTOCICLETA
LA MACARENA,A PIE
CALIFORNIA,MOTOCICLETA
VRDA. LAS TAPIAS,A PIE
CENTRO,A PIE
PRADO I,A PIE
EL PARAISO E12,A PIE
EL PARAISO E12,A PIE
OBRERO E9,A PIE
OBRERO E9,A PIE
LA FLORA E2,MOTOCICLETA
NUEVA FLORESTA E12,A PIE
LA FLORA E2,A PIE
LA FLORA E2,A PIE
SAN PEDRO E3,A PIE
SIETE DE AGOSTO E7,A PIE
LA BASE E8,A PIE
MELENDEZ E18,A PIE
LA SELVA E10,MOTOCICLETA
VILLA DEL SOL E5,A PIE
EL TREBOL E8,MOTOCICLETA
NORMANDIA E2,MOTOCICLETA
LA HACIENDA E17,A PIE
CIUDAD 2000 E16,A PIE
EL LIMONAR E17,A PIE
CALYPSO E13,MOTOCICLETA
MARIANO RAMOS E16,A PIE
CALIMIO DESEPAZ E21,A PIE
CALIMIO DESEPAZ E21,A PIE
POPULAR,A PIE
LAS ANTILLAS,MOTOCICLETA
VILLAGRANDE,MOTOCICLETA
EL PORTAL,A PIE
SANTA MARIA # 1,A PIE
VILLA PAULA,A PIE
BARILOCHE,A PIE
GRANADA C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
PRADO C-10,A PIE
LOS ANGELES C-10,MOTOCICLETA
PATIO BONITO C-14,TRANSPORTE PUBLICO
EL POBLADO C-14,MOTOCICLETA
CASTROPOL C-14,A PIE
LA ALPUJARRA C-10,TRANSPORTE PUBLICO
PROGRESO C-5,MOTOCICLETA
FLORIDA NUEVA C-11,A PIE
BELEN C-16,A PIE
BELEN C-16,TRANSPORTE PUBLICO
LA CANDELARIA C-10,TRANSPORTE PUBLICO
TEJELO C-5,MOTOCICLETA
MONTES,MOTOCICLETA
CORDIALIDAD,A PIE
EL BOSQUE,A PIE
SILENCIO,A PIE
VILLA MUVDI,MOTOCICLETA
LA ARBOLEDA,MOTOCICLETA
LO AMADOR,A PIE
JARDIN DEL NORTE,BICICLETA
JARDIN DEL NORTE,BICICLETA
CENTRO,A PIE
CERVANTES,A PIE
LA ENEA,TRANSPORTE PUBLICO
CENTENARIO,A PIE
LA PAZ,A PIE
LAS AVENIDAS,MOTOCICLETA
ATALAYA,A PIE
SITIO EL QUEBRADON,A PIE
EL CENTRO,A PIE
20 DE JULIO,A PIE
BELLO HORIZONTE,A PIE
VILLA DOCENTE,MOTOCICLETA
VILLA DEL VIENTO,MOTOCICLETA
CENTRO,A PIE
CENTRO,A PIE
BELALCAZAR,A PIE
SOLIDARIDAD,MOTOCICLETA
SITIO LADRILLERA MELENDEZ,A PIE
SITIO QUINCE LETRAS,A PIE
PARAISO,A PIE
PANZENU,A PIE
PANZENU,A PIE
URB. LOS RECUERDOS,A PIE
URB. LOS RECUERDOS,A PIE
EL CENTRO,A PIE
MINUTO DE DIOS,MOTOCICLETA
EL ALIVIO,A PIE
URB. LOS RECUERDOS,A PIE
LA PRADERA,MOTOCICLETA
LAS MARGARITAS E-8,MOTOCICLETA
SAN CAYETANA NORTE E-10,MOTOCICLETA
QUINTA CAMACHO E-2,A PIE
URB. SANTANDER E-15,A PIE
EL RECREO E-7,A PIE
SANTA BARBARA E-1,MOTOCICLETA
EL CORTIJO E-5,A PIE
CIUDAD SALITRE E-9,TRANSPORTE PUBLICO
EL RESTREPO E-15,A PIE
SAN JOAQUIN E-10,BICICLETA
LA FELICIDAD E-9,A PIE
CIUDAD SALITRE II E-13,A PIE
PUENTE LARGO E-11,TRANSPORTE PUBLICO
MODELIA E-9,BICICLETA
CHAPINERO ALTO E-2,A PIE
LAS NIEVES E-3,TRANSPORTE PUBLICO
VOTO NACIONAL E-14,TRANSPORTE PUBLICO
LAS NIEVES E-3,A PIE
EL VERGEL E-8,TRANSPORTE PUBLICO
ALTOS DE JALISCO E-19,A PIE
CEDRO NORTE E-1,TRANSPORTE PUBLICO
EL TUNAL II E-6,A PIE
ALQUERIA LA FRAGUA E-8,MOTOCICLETA
CIUDAD KENNEDY OCC E-8,TRANSPORTE PUBLICO
SANTA CECILIA E-9,BICICLETA
FRANCISCO JOSE DE CALDASS   E-8,A PIE
URB. LA COLINA CAMPESTRE I SECTOR E-11,TRANSPORTE PUBLICO
TUNALITO E-6,A PIE
ARBORIZADORA ALTA E-19,A PIE
BOSTON E-9,A PIE
GUACAMAYAS I-II E-4,A PIE
VER. BOSACHOQUE,A PIE
CENTRO,A PIE
MAREYGUA,MOTOCICLETA
CENTRO,A PIE
RANCHERIA,A PIE
CENTRO,MOTOCICLETA
VEREDA LLANO DE LA VIRGEN,A PIE
SANTA ISABEL,MOTOCICLETA
GUALANDAY ETAPA I,A PIE
LUIS IGNACIO ANDRADE,A PIE
LOS GUADUALES,MOTOCICLETA
CENTRO,A PIE
RELIQUIA,A PIE
COVISAN,MOTOCICLETA
BARZAL ALTO,A PIE
EL TRIUNFO,MOTOCICLETA
LA CEIBA,A PIE
TORRES DE SAN JUAN,TRANSPORTE PUBLICO
EL ROSARIO,A PIE
CENTRO,A PIE
BARRIO CAMILO TORRES,A PIE
BARRIO QUINTA VELEZ,A PIE
CENTRO,A PIE
SECTOR CAM,A PIE
BOSQUES DE PINARES,MOTOCICLETA
FUNDADORES,A PIE
EL CAMPO,MOTOCICLETA
EL CAMPO,MOTOCICLETA
LA PLAYA,A PIE
EL CENTRO,A PIE
MONSERRATE,A PIE
MARAYA,A PIE
SECTOR PUENTES DE LA 9A CON 12,A PIE
LA UNIVERSIDAD,A PIE
CENTRO,A PIE
SAN MIGUEL,A PIE
NUEVO SOTOMAYOR,MOTOCICLETA
URB. SAMANES,BICICLETA
SAN MARTIN,MOTOCICLETA
MUTIS,MOTOCICLETA
LA AURORA,MOTOCICLETA
ANTONIA SANTOS,A PIE
MONTE BLANCO,A PIE
VDA. LA AZUBRADA,A PIE
CENTRO P/TA,TRANSPORTE PUBLICO
LA RIOJA,A PIE
VDA. SAN FRANCISCO,MOTOCICLETA
LIBERTADOR,A PIE
LIBERTADOR,A PIE
INTERLAKEN,A PIE
COMBEIMA,A PIE
PICALENHA,A PIE
OBRERO,A PIE
CALIMIO DESEPAZ E21,A PIE
MELENDEZ E18,A PIE
PANAMERICANO E10,MOTOCICLETA
TERRON COLORADO E1,A PIE
LA FLORA E2,A PIE
METROPOLITANO DEL NORTE E5,MOTOCICLETA
LOS SAUCES E11,A PIE
PRADOS DE ORIENTE E11,A PIE
PRADOS DE ORIENTE E11,A PIE
EL REFUGIO E19,TRANSPORTE PUBLICO
LOS SAUCES E11,TRANSPORTE PUBLICO
PRADO,MOTOCICLETA
LA ASUNCION,A PIE
ALCALA,MOTOCICLETA
MILLAN Y VALLEJUELOS,MOTOCICLETA
VILLAGRANDE,A PIE
EL ROSARIO,A PIE
SATEXCO,A PIE
GUAYAQUIL C-10,A PIE
LA CANDELARIA C-10,A PIE
LA FLORESTA C-12,MOTOCICLETA
SAN DIEGO C-10,A PIE
LAURELES C-11,MOTOCICLETA
LA GLORIA C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
LAS PLAYAS C-16,A PIE
EL RODEO C-15,A PIE
LA MOTA C-16,MOTOCICLETA
JESUS NAZARENO C-10,MOTOCICLETA
SEVILLA  C-4,TRANSPORTE PUBLICO
LOS COLORES C-11,MOTOCICLETA
BUENOS AIRES  C-9,MOTOCICLETA
LA CANDELARIA C-10,A PIE
GUAYAQUIL C-10,BICICLETA
SIMON BOLIVAR C-12,MOTOCICLETA
LOS PINOS C-12,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
SANTA CRUZ  C-2,MOTOCICLETA
SAN FRANCISCO,VEHICULO
SIMON BOLIVAR,A PIE
EDEN 2000,VEHICULO
LAS PALMAS,TRANSPORTE PUBLICO
GARDENIAS,A PIE
CHIQUINQUIRA,A PIE
BARRANQUILLITA,A PIE
SUCRE,A PIE
LA FLORIDA,A PIE
CENTRO,A PIE
VILLA CARMENZA,A PIE
BELLO HORIZONTE,TRANSPORTE PUBLICO
EL TRIUNFO,A PIE
SAN JORGE,A PIE
31 DE MARZO,MOTOCICLETA
LOMAS DE GRANADA 1,A PIE
CENTRO,A PIE
ALFONSO LOPEZ,MOTOCICLETA
CIUDADELA 450 ANHOS,MOTOCICLETA
GUATAPURI,MOTOCICLETA
VILLA MARUAMAQUE,A PIE
NUEVO MILENIO,A PIE
PARAISO,A PIE
LACHARME,A PIE
NUEVA COLOMBIA,MOTOCICLETA
LAS DELICIAS   E-8,A PIE
RESTREPO E-15,A PIE
LA CALLEJA E-1,TRANSPORTE PUBLICO
LA FAVORITA E-14,A PIE
LA FAVORITA E-14,A PIE
EL AMPARO E-8,BICICLETA
SAN DIEGO E-3,A PIE
SUBA URB. SANTA CATALINA E-11,TRANSPORTE PUBLICO
SAN MIGUEL E-4,A PIE
CARVAJAL E-8,MOTOCICLETA
SANTA VIVIANA E-19,A PIE
AURES II E-11,A PIE
SAN DIEGO E-3,A PIE
TOBERIN ORIENTAL E-1,A PIE
SAN VICENTE FERRER E-6,TRANSPORTE PUBLICO
URB. SANTA LUCIA E-6,A PIE
ALFONSO LOPEZ SECTOR LA ALBORADA E-5,A PIE
LA ESTANCIA BAJA E-19,A PIE
AURES II E-11,A PIE
EL POA E-11,A PIE
SANTA BARBARA CENTRAL E-1,TRANSPORTE PUBLICO
JOSE ANTONIO GALAN E-7,MOTOCICLETA
CIUDAD SALITRE II E-13,A PIE
MARTIRES E-14,MOTOCICLETA
LOURDES E-2,A PIE
CIUDAD BERNA E-15,A PIE
BRASILIA I SECTOR E-7,A PIE
NORMANDIA E-10,A PIE
URB. PUENTE ARANDA E-16,A PIE
PERDOMO E-19,A PIE
LOS PERIODISTAS E-8,A PIE
LA AMISTAD BOSA E-7,MOTOCICLETA
PUENTE GRANDE E-9,A PIE
EL TINTAL E-8,A PIE
CENTRO,A PIE
EL CARMEN,MOTOCICLETA
TENERIFE,MOTOCICLETA
LA GAITANA,A PIE
SANTA CATALINA,A PIE
ALMENDROS,MOTOCICLETA
CENTRO HISTORICO,A PIE
PARQUE,A PIE
LUZ DEL MUNDO,MOTOCICLETA
CIUDADELA 29 DE JULIO,A PIE
7 DE AGOSTO,A PIE
SAN IGNACIO,MOTOCICLETA
AV. LAS AMERICAS,MOTOCICLETA
PANDIACO,A PIE
CAICEDO,MOTOCICLETA
AVENIDA COLOMBIA NORMANDIA,A PIE
BARRIO SAN LUIS,TRANSPORTE PUBLICO
BARRIO EL CENTRO,MOTOCICLETA
BARRIO LA CORDIALIDAD,MOTOCICLETA
GRANADA,MOTOCICLETA
CAFETERO,MOTOCICLETA
CIUDAD DORADA,MOTOCICLETA
VDA. EL JAZMIN,A PIE
SECTOR CENTRO COMERCIAL LA 14,A PIE
BUENAVISTA,A PIE
CABECERA DEL LLANO,MOTOCICLETA
ARANZOQUE,TRANSPORTE PUBLICO
JUNIN,A PIE
BUCARAMANGA-PAMPLONA,A PIE
CENTRO,A PIE
TIERRA FIRME,MOTOCICLETA
PIJAO,A PIE
CENTRO,A PIE
BOSQUES DEL LIMONAR E17,A PIE
OBRERO E9,A PIE
GUAYAQUIL E9,A PIE
EL GRAN LIMONAR - CATAYA E17,A PIE
BELALCAZAR E9,BICICLETA
TIERRA BLANCA E20,A PIE
LAS ACACIAS E10,A PIE
CALIMA E4,A PIE
CALIMA E4,A PIE
UNION DE VIVIENDA POPULAR E16,A PIE
PASEO DE LOS ALMENDROS E5,TRANSPORTE PUBLICO
ALFEREZ REAL E18,MOTOCICLETA
SALOMIA E4,MOTOCICLETA
PANAMERICANO E10,MOTOCICLETA
MARIA AUXILIADORA (23-3),A PIE
SAN ANTONIO,A PIE
MESA,A PIE
LA CABANHA,A PIE
ASTURIAS,A PIE
SANTA MARIA # 1,MOTOCICLETA
DIEGO ECHAVARRIA C-16,A PIE
EL RODEO C-15,MOTOCICLETA
CARIBE C-5,MOTOCICLETA
HECTOR ABAD GOMEZ C-5,TRANSPORTE PUBLICO
MANRIQUE 2  C-3,A PIE
NARANJAL C-11,A PIE
LA FLORESTA C-12,MOTOCICLETA
CONQUISTADORES C-11,TRANSPORTE PUBLICO
LA ALPUJARRA C-10,A PIE
LORENA C-11,TRANSPORTE PUBLICO
SAN BERNARDO C-16,MOTOCICLETA
BELEN C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
LA LOMA DE LOS BERNAL C-16,MOTOCICLETA
SAN DIEGO C-10,MOTOCICLETA
LAURELES C-11,A PIE
CENTRO  S.A.P.,A PIE
EL CARMELO I,A PIE
EL TUNAL,A PIE
CENTRO DOS,MOTOCICLETA
BOSQUECITO,A PIE
VDA. PIZARRA,MOTOCICLETA
CENTRO,MOTOCICLETA
BARRIO JORDAN,A PIE
BARRIO JORDAN,A PIE
NOGALES,A PIE
SECTOR EL CABLE,A PIE
BARRIO LA ARGENTINA,MOTOCICLETA
EL TIMY,A PIE
BUENOS AIRES,A PIE
RETIRO BAJO,TRANSPORTE PUBLICO
CICERON MAESTRE,MOTOCICLETA
DANGON,A PIE
NUEVO AMANECER,MOTOCICLETA
FUNDADORES,A PIE
BONANZA,A PIE
LA CEIBA,MOTOCICLETA
PASATIEMPO,A PIE
LA PRADERA,MOTOCICLETA
LA RIVERA E-8,BICICLETA
SAMPER E-3,A PIE
EL RESTREPO E-15,A PIE
BOSA CENTRO E-7,MOTOCICLETA
CHAPINERO ALTO E-2,A PIE
LAS ORQUIDEAS E-1,BICICLETA
LA SOLEDAD E-13,MOTOCICLETA
PIAMONTE E-7,BICICLETA
SUCRE E-2,A PIE
ALHAMBRA SECTOR NORTE E-11,A PIE
VALLADOLID      E-8,MOTOCICLETA
EL LISTON E-14,A PIE
VILLA MAYOR E-15,MOTOCICLETA
CHAPINERO CENTRAL E-2,A PIE
LUCERO BAJO E-19,A PIE
RESTREPO E-15,A PIE
VERACRUZ E-3,A PIE
LOS HAYUELOS E-9,BICICLETA
PALOQUEMAO E-14,A PIE
PALERMO E-13,A PIE
LA ESTRELLA DEL SUR E-19,A PIE
TUNALITO E-6,A PIE
GRAN AMERICA E-13,A PIE
BRASILIA I SECTOR E-7,MOTOCICLETA
EL GRECO E-13,A PIE
TIMIZA CELULA F LOTE RF-2 E-8,MOTOCICLETA
CHICO I E-2,A PIE
LOS CEDRITOS E-1,TRANSPORTE PUBLICO
BRISAS DEL POLO E-12,A PIE
CHICO NORTE I E-2,MOTOCICLETA
BELEN E-9,A PIE
ACATAMA E-8,A PIE
MODELIA E-9,A PIE
SAN JOSE DEL PRADO E-11,A PIE
SOLEDAD NORTE E-10,TRANSPORTE PUBLICO
URB. LUCERNA E-8,MOTOCICLETA
GALERIAS E-13,A PIE
SAN VICENTE FERRER E-6,MOTOCICLETA
SAN VICTORINO E-3,A PIE
CARCEL DISTRIAL E-4,A PIE
SAN ANTONIO E-15,A PIE
SUBA URBANO E-11,A PIE
SAN FRANCISCO E-19,A PIE
BOSA CARBONEL II E-7,A PIE
SANTA BARBARA,MOTOCICLETA
SANTA BARBARA,MOTOCICLETA
MAGDALENA,A PIE
URB. MAJAYURA I ETAPA,A PIE
CORREGIMIENTO DEL CABO DE LA VELA,MOTOCICLETA
NAZARETH,A PIE
VEREDA LA AZUFRADA,MOTOCICLETA
LOS MARTIRES,MOTOCICLETA
MANZANARES,A PIE
VEREDA EL VENADO,A PIE
CENTRO,A PIE
LOS MARTIRES,A PIE
SANTA INES,A PIE
AGUABLANCA,A PIE
SIMON BOLIVAR,MOTOCICLETA
BULEVAR DE LAS ROSAS,MOTOCICLETA
RODADERO SUR,A PIE
CENTRO HISTORICO,A PIE
VAINILLA,A PIE
EL PILAR,A PIE
EL PILAR,A PIE
BARRIO OSPINA PEREZ,A PIE
BARRIO DIVINA PASTORA,A PIE
CENTRO,A PIE
VILLA INGLESA,A PIE
FRANCISCO LONDONHO,A PIE
VDA.LA HERRADURA,A PIE
VALHER,A PIE
EVEN EZER,A PIE
EVEN EZER,A PIE
KENNEDY,A PIE
KENNEDY,A PIE
SECTOR GOBERNACION,A PIE
POZO SIETE,A PIE
CGTO. EL CENTRO,A PIE
BOLARQUI,MOTOCICLETA
KENNEDY,A PIE
KENNEDY,A PIE
DANGOND,A PIE
CENTRO,MOTOCICLETA
COLORADOS,A PIE
CHORRERAS DE DON JUAN,A PIE
KENNEDY,A PIE
ANILLO VIAL,A PIE
ZAPAMANGA V,MOTOCICLETA
CASTILLA REAL I,A PIE
CENTRO P/TA,MOTOCICLETA
CENTRO P/TA,A PIE
ARKABAL,A PIE
CENTRO,A PIE
RICAURTE PARTE ALTA,A PIE
JARDIN SANTANDER,A PIE
JARDIN SANTANDER,A PIE
URIBE URIBE,A PIE
BOQUERON,A PIE
EL CARMEN,MOTOCICLETA
CENTRO,A PIE
CENTRO,A PIE
EL JARDIN E11,A PIE
JUNIN E9,MOTOCICLETA
URB. TEQUENDAMA E19,TRANSPORTE PUBLICO
SANTANDER E4,A PIE
JULIO RINCON E12,A PIE
VERSALLES E2,A PIE
OMAR TORRIJOS E13,A PIE
GUAYAQUIL E9,A PIE
CAMPO AMOR,A PIE
SAN FERNANDO NUEVO E19,A PIE
SAN PEDRO E3,A PIE
JORGE ELIECER GAITAN E6,A PIE
CHAMPAGNAT E19,MOTOCICLETA
CIUDAD TALANGA E21,MOTOCICLETA
SAN PEDRO E3,A PIE
EL INGENIO E17,A PIE
SAN PEDRO E3,A PIE
CIUDAD CORDOBA E15,A PIE
LAS QUINTAS DE DON SIMON E17,A PIE
PASOANCHO E10,A PIE
SAN JUAN BOSCO E3,MOTOCICLETA
ENTRE RIOS,A PIE
VDA. FILOVERDE,MOTOCICLETA
DITAIRES,MOTOCICLETA
VDA. LOMA LOS ZULETAS,A PIE
SANTA MARIA # 1,A PIE
SAN FERNANDO,A PIE
CENTRO,A PIE
LA CANDELARIA C-10,A PIE
LA FLORESTA C-12,A PIE
LA FLORESTA C-12,A PIE
EL CHAGUALO C-10,A PIE
SANTA ROSA DE LIMA C-13,MOTOCICLETA
LA CANDELARIA C-10,A PIE
SEVILLA  C-4,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
BOSQUES DE SAN PABLO C-7,MOTOCICLETA
ESTACION VILLA C-10,A PIE
SEVILLA  C-4,A PIE
GUAYABAL C-15,MOTOCICLETA
LA CONVENCION,MOTOCICLETA
BELEN,A PIE
BETANIA,TRANSPORTE PUBLICO
CENTRO,A PIE
EL CONCORDE,A PIE
ZONA RURAL,MOTOCICLETA
EL TUCAN,MOTOCICLETA
BARRIO CENTRO,A PIE
SANTA SOFIA,A PIE
CENTRO,A PIE
PALERMO,A PIE
BELEN,A PIE
SIETE DE AGOSTO,A PIE
TORASSO,MOTOCICLETA
URBANIZACION LOS COMUNEROS,A PIE
MODELO,MOTOCICLETA
BOLIVAR,A PIE
VILLA DEL VIENTO,A PIE
CENTRO,MOTOCICLETA
MARIA EUGENIA ALTO,MOTOCICLETA
NUEVA COLOMBIA,MOTOCICLETA
SICARARE,MOTOCICLETA
MERCADO,A PIE
INV.BRISAS DE LA POPA,MOTOCICLETA
LA POPA,MOTOCICLETA
LA POPA,MOTOCICLETA
EL CENTRO,MOTOCICLETA
EL CENTRO,MOTOCICLETA
SANTA MARIA,MOTOCICLETA
CIUDAD KENNEDY CENTRAL E-8,A PIE
TINTALITO E-8,A PIE
ZONA INDUSTRIAL LAS GRANJAS E-16,TRANSPORTE PUBLICO
CIUDAD KENNEDY CENTRAL E-8,BICICLETA
MINUTO DE DIOS E-10,BICICLETA
PALERMO E-13,MOTOCICLETA
PERDOMO E-19,MOTOCICLETA
YOMASA NORTE E-5,A PIE
RICAURTE E-14,A PIE
URB. LOS EJIDOS E-16,A PIE
CHAPINERO CENTRAL E-2,MOTOCICLETA
SAN BLAS E-4,MOTOCICLETA
LUCERO BAJO E-19,A PIE
LA CONCEPCION E-12,A PIE
BOSA E-7,BICICLETA
LA CALLEJA E-1,TRANSPORTE PUBLICO
CHAPINERO CENTRAL E-2,A PIE
LA PORCIUNCULA E-2,TRANSPORTE PUBLICO
LA CAPUCHINA E-3,A PIE
URB. CARIMAGUA I SECTOR E-8,MOTOCICLETA
MARIA CRISTINA E-2,A PIE
MARIA CRISTINA E-2,A PIE
ROSALES E-2,A PIE
ROSALES E-2,A PIE
CIUDAD SALITRE II E-13,A PIE
SAN JORGE E-18,A PIE
BENJAMIN HERRERA E-12,TRANSPORTE PUBLICO
GALERIAS E-13,TRANSPORTE PUBLICO
BANDERAS E-8,VEHICULO
CASTILLA LA NUEVA E-8,A PIE
CHAPINERO NORTE E-2,TRANSPORTE PUBLICO
LAS AMERICAS E-8,A PIE
PERDOMO E-19,A PIE
LOS LAURELES E-7,A PIE
ALAMOS SUR E-10,A PIE
LOS MOLINOS DEL SUR E-18,A PIE
URB. VILLA SONIA E-16,MOTOCICLETA
SAN MATEO,TRANSPORTE PUBLICO
SAN FRANCISCO,MOTOCICLETA
20 DE JULIO,MOTOCICLETA
ALAMOS NORTE,A PIE
MANZANARES,A PIE
EL TRIANGULO,A PIE
FATIMA,A PIE
FATIMA,A PIE
CALAMO,A PIE
SAN MATEO,A PIE
VEREDA ARENOSO,A PIE
5 DE FEBRERO,A PIE
CUNDI,MOTOCICLETA
EL PRADO,MOTOCICLETA
CENTRO HISTORICO,A PIE
VILLA MARIA,A PIE
SAN ISIDRO,A PIE
CENTRO,A PIE
TEUSACA,A PIE
VILLAS DEL OCOA,A PIE
BOSQUES DE ABAJAM*,TRANSPORTE PUBLICO
LA ESPERANZA,MOTOCICLETA
MONTECARLO,MOTOCICLETA
CAMINO REAL,A PIE
POTRERILLO,MOTOCICLETA
AGUALONGO,A PIE
AQUINE II,MOTOCICLETA
LAS LUNAS,A PIE
SAN ANDRESITO,A PIE
AVENIDA BOYACA,MOTOCICLETA
SECTOR LA VEINTE,A PIE
CENTRO,A PIE
ZONA CENTRO,A PIE
ZONA CENTRO,A PIE
EL PROGRESO,MOTOCICLETA
CENTRO (A) PEREIRA,MOTOCICLETA
P.INDUSTRIAL A,MOTOCICLETA
P.INDUSTRIAL A,MOTOCICLETA
CIRCUNVALAR,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
GALAN GOMEZ,MOTOCICLETA
MANUELA BELTRAN I,A PIE
SAN ALONSO,MOTOCICLETA
CABECERA DEL LLANO,A PIE
COMUNEROS,MOTOCICLETA
RINCON DE GIRON,MOTOCICLETA
RINCON DE GIRON,MOTOCICLETA
CENTRO P/TA,A PIE
SAN FRANCISCO P/TA,A PIE
SAN JERONIMO,A PIE
EL SOCORRO,A PIE
VRDA. AGUA BONITA,MOTOCICLETA
CENTRO,A PIE
CABALLERO Y GONGORA,A PIE
SAN PEDRO ALEJANDRINO,A PIE
CENTRO,A PIE
SAN JOSE,A PIE
CENTRO,A PIE
MARIA INMACULADA,A PIE
LA LIBERTAD E10,MOTOCICLETA
VIPASA E2,A PIE
MIRAFLORES E19,A PIE
