BARRIO,ARMA
SUBA CENTRO E-11,ARMA BLANCA / CORTOPUNZANTE
LA PAZ E-3,ARMA BLANCA / CORTOPUNZANTE
SANTA ISABEL E-14,SIN EMPLEO DE ARMAS
SUBA CENTRO E-11,SIN EMPLEO DE ARMAS
ALTO PRADO,ARMA DE FUEGO
COLOMBIALIBRE,ARMA DE FUEGO
EL CENTRO,ARMA DE FUEGO
BARRIO DIVINO NINHO,SIN EMPLEO DE ARMAS
VEREDA CLAROS,CONTUNDENTES
EL VERGEL,ARMA DE FUEGO
LOS DUJOS,ARMA BLANCA / CORTOPUNZANTE
ENRIQUE OLAYA HERRERA,ARMA BLANCA / CORTOPUNZANTE
REPOSO,ARMA BLANCA / CORTOPUNZANTE
ALCAZARES,SIN EMPLEO DE ARMAS
CENTRO HISTORICO,CONTUNDENTES
RODADERO SUR,ARMA DE FUEGO
CENTRO,CONTUNDENTES
ESTERO,ARMA BLANCA / CORTOPUNZANTE
INDUSTRIAL,ARMA BLANCA / CORTOPUNZANTE
SAN BENITO,ARMA DE FUEGO
BELLO HORIZONTE,ARMA BLANCA / CORTOPUNZANTE
BENJAMIN HERRERA,SIN EMPLEO DE ARMAS
RECUERDO,SIN EMPLEO DE ARMAS
CANTARANA,ARMA BLANCA / CORTOPUNZANTE
POTRERILLO,SIN EMPLEO DE ARMAS
POTRERILLO,SIN EMPLEO DE ARMAS
NUEVO SOL,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
CHAPAL,CONTUNDENTES
CAICEDO ALTO,ARMA BLANCA / CORTOPUNZANTE
AV. ESTUDIANTES,ARMA BLANCA / CORTOPUNZANTE
CHILE,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
POTRERILLO,ARMA BLANCA / CORTOPUNZANTE
MADRIGAL,SIN EMPLEO DE ARMAS
NIZA II,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
AV. CHAMPAGNAT,SIN EMPLEO DE ARMAS
BARRIO PRADOS DEL ESTE,ARMA DE FUEGO
BARRIO EL BOSQUE,SIN EMPLEO DE ARMAS
SECTOR CAM,ARMA BLANCA / CORTOPUNZANTE
VERACRUZ,ARMA BLANCA / CORTOPUNZANTE
SECTOR COLISEO DEL CAFE,ARMA BLANCA / CORTOPUNZANTE
MIRAFLORES BAJO,ARMA DE FUEGO
CIUDADELA EL ENSUENHO,ARMA DE FUEGO
CIUDADELA EL ENSUENHO,ARMA DE FUEGO
B. CENTRO,SIN EMPLEO DE ARMAS
B. CENTRO,SIN EMPLEO DE ARMAS
B. CENTRO,SIN EMPLEO DE ARMAS
SECTOR LA POPA,ARMA BLANCA / CORTOPUNZANTE
LA AURORA,ARMA BLANCA / CORTOPUNZANTE
LA AURORA,ARMA BLANCA / CORTOPUNZANTE
PLAZA CIVICA CIUDAD VICTORIA,CONTUNDENTES
SECTOR PLAZA DE BOLIVAR,SIN EMPLEO DE ARMAS
SECTOR AVENIDA DEL RIO,ARMA DE FUEGO
LAS GARZAS,SIN EMPLEO DE ARMAS
LA ESPERANZA,SIN EMPLEO DE ARMAS
GARCIA ROVIRA,SIN EMPLEO DE ARMAS
CABECERA DEL LLANO,ARMA BLANCA / CORTOPUNZANTE
REGADERO NORTE,ARMA BLANCA / CORTOPUNZANTE
TRANSICION V,ARMA BLANCA / CORTOPUNZANTE
DIAMANTE II,ARMA DE FUEGO
VILLA ROSA,ARMA DE FUEGO
PIO XII,ARMA BLANCA / CORTOPUNZANTE
EL BOSQUE,SIN EMPLEO DE ARMAS
PANORAMA,ARMA BLANCA / CORTOPUNZANTE
VIA PIEDRAS,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
VRDA. DINDALITO,SIN EMPLEO DE ARMAS
EL GRAN LIMONAR E17,ARMA DE FUEGO
NORMANDIA E2,ARMA DE FUEGO
ALFONSO B. ARAGON E14,ARMA DE FUEGO
MARIANO RAMOS E16,ARMA DE FUEGO
EL RETIRO E15,ARMA BLANCA / CORTOPUNZANTE
SANTA ROSA E3,ARMA DE FUEGO
SANTA TERESITA E2,ARMA BLANCA / CORTOPUNZANTE
SAN PEDRO E3,ARMA BLANCA / CORTOPUNZANTE
VALLADO E15,ARMA BLANCA / CORTOPUNZANTE
SIETE DE AGOSTO E7,ARMA DE FUEGO
JORGE ISAACS E4,ARMA DE FUEGO
JORGE ISAACS E4,ARMA DE FUEGO
SILOE E20,ARMA BLANCA / CORTOPUNZANTE
MARROQUIN I E14,ARMA DE FUEGO
CALLEJON TIPLE ARRIBA (23-S-4-1),ARMA DE FUEGO
CANDELARIA (23-1 23-2),ARMA DE FUEGO
CENTRAL (23-S-2-1),SIN EMPLEO DE ARMAS
JORGE ELIECER GAITAN,SIN EMPLEO DE ARMAS
LA PRADERA I E24,CONTUNDENTES
ZAMORANO,SIN EMPLEO DE ARMAS
CENTRAL,ARMA BLANCA / CORTOPUNZANTE
CENTRAL,ARMA DE FUEGO
VILLA CLAUDIA,ARMA BLANCA / CORTOPUNZANTE
VDA. POTRERITO,ARMA DE FUEGO
ZONA CENTRO,ARMA DE FUEGO
ASOVIVIENDA,ARMA DE FUEGO
PALMIRA,ARMA DE FUEGO
VILLANUEVA,ARMA DE FUEGO
TERRA NOVA,ARMA BLANCA / CORTOPUNZANTE
VDA. LA MARIA,SIN EMPLEO DE ARMAS
SAN PIO,ARMA DE FUEGO
VILLA PAULA,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
VILLANUEVA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA DE FUEGO
ZONA CENTRO,CONTUNDENTES
GERONA  C-9,ARMA BLANCA / CORTOPUNZANTE
LA MILAGROSA  C-9,ARMA DE FUEGO
HECTOR ABAD GOMEZ C-5,ARMA DE FUEGO
CRISTO REY C-15,ARMA DE FUEGO
BARRIO COLOMBIA C-14,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,CONTUNDENTES
LAURELES C-11,ARMA BLANCA / CORTOPUNZANTE
LOS ANGELES C-10,ARMA DE FUEGO
EL POBLADO C-14,SIN EMPLEO DE ARMAS
BOYACA C-5,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
CARIBE C-5,ARMA DE FUEGO
ESTACION VILLA C-10,SIN EMPLEO DE ARMAS
ESTACION VILLA C-10,SIN EMPLEO DE ARMAS
AMANECERES,SIN EMPLEO DE ARMAS
CAMPO ALEGRE,ARMA DE FUEGO
LLANOGRANDE,SIN EMPLEO DE ARMAS
RINCON DE SAN ANTONIO,ARMA BLANCA / CORTOPUNZANTE
RIO ABAJO,ARMA BLANCA / CORTOPUNZANTE
CERAMICA,ARMA DE FUEGO
SAN MIGUEL,ARMA DE FUEGO
SAN MIGUEL,ARMA DE FUEGO
CARRIZAL,ARMA DE FUEGO
VILLAS DE LA CORDIALIDAD,ARMA BLANCA / CORTOPUNZANTE
VILLAS DE LA CORDIALIDAD,ARMA BLANCA / CORTOPUNZANTE
BOSTON,SIN EMPLEO DE ARMAS
EL SANTUARIO,ARMA DE FUEGO
REBOLO,SIN EMPLEO DE ARMAS
PASADENA,SIN EMPLEO DE ARMAS
BOSTON,SIN EMPLEO DE ARMAS
SAN JOSE,ARMA BLANCA / CORTOPUNZANTE
CENTRO,CONTUNDENTES
BARRIO SANTA BARBARA,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
BARRIO LOS AGUSTINOS,LLAVE MAESTRA
BARRIO CHIPRE,SIN EMPLEO DE ARMAS
CIUDADELA HABITACIONAL SIGLO XXI,SIN EMPLEO DE ARMAS
LA LIBERTAD,ARMA DE FUEGO
ALGARROBO,CONTUNDENTES
ALGARROBO,CONTUNDENTES
ALGARROBO,CONTUNDENTES
ALGARROBO,CONTUNDENTES
ALGARROBO,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
LA FRAGUA,SIN EMPLEO DE ARMAS
LA FRAGUA,SIN EMPLEO DE ARMAS
POSTOBON,ARMA BLANCA / CORTOPUNZANTE
SOLIDARIDAD,ARMA BLANCA / CORTOPUNZANTE
ALAMEDA,SIN EMPLEO DE ARMAS
VILLA DOCENTE,ARMA DE FUEGO
CHAMPAGNHA,SIN EMPLEO DE ARMAS
RETIRO BAJO,SIN EMPLEO DE ARMAS
EL CENTRO,SIN EMPLEO DE ARMAS
VEREDA BESITO VOLADO,ARMA BLANCA / CORTOPUNZANTE
VIA MONTERIA -PLANETA RICA,ARMA DE FUEGO
URB. LA COLINA CAMPESTRE I SECTOR E-11,ARMA BLANCA / CORTOPUNZANTE
CHAPINERO NORTE E-2,SIN EMPLEO DE ARMAS
CHAPINERO NORTE E-2,SIN EMPLEO DE ARMAS
CHAPINERO NORTE E-2,CONTUNDENTES
ALQUERIA LA FRAGUA E-8,ARMA BLANCA / CORTOPUNZANTE
NICOLAS DE FEDERMAN E-13,ARMA BLANCA / CORTOPUNZANTE
GUSTAVO RESTREPO E-18,SIN EMPLEO DE ARMAS
VENECIA E-6,ARMA DE FUEGO
CHICO NORTE II SECTOR E-1,SIN EMPLEO DE ARMAS
