BARRIO,ARMA
SANTA ANITA E17,SIN EMPLEO DE ARMAS
ATANASIO GIRARDOT E8,ARMA BLANCA / CORTOPUNZANTE
LA FLORA E2,CONTUNDENTES
LOS ROBLES E13,SIN EMPLEO DE ARMAS
MARROQUIN I E14,ARMA BLANCA / CORTOPUNZANTE
VALLADO E15,SIN EMPLEO DE ARMAS
SAN NICOLAS E3,ARMA DE FUEGO
OBRERO E9,ESCOPOLAMINA
METROPOLITANO DEL NORTE E5,ARMA BLANCA / CORTOPUNZANTE
CGTO PAVAS E27,SIN EMPLEO DE ARMAS
CAIMITOS,ARMA DE FUEGO
CAIMITOS,ARMA DE FUEGO
EL CARMEN,ARMA BLANCA / CORTOPUNZANTE
EL CENTRO,SIN EMPLEO DE ARMAS
CGTO ACOPI E25,SIN EMPLEO DE ARMAS
CGTO ACOPI E25,SIN EMPLEO DE ARMAS
BELLAVISTA E25,CONTUNDENTES
GRAN AVENIDA,CONTUNDENTES
SIMON BOLIVAR,ARMA DE FUEGO
VDA. PENHAS BLANCAS,SIN EMPLEO DE ARMAS
ESTADIO C-11,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
CARIBE C-5,ARMA BLANCA / CORTOPUNZANTE
GUAYAQUIL C-10,ARMA BLANCA / CORTOPUNZANTE
ENCISO C-8,SIN EMPLEO DE ARMAS
VDA. LAS PLAYAS S.C.,ARMA BLANCA / CORTOPUNZANTE
ARANJUEZ  C-4,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
SAN BENITO C-10,SIN EMPLEO DE ARMAS
SURAMERICANA C-11,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LAS MERCEDES C-16,ARMA DE FUEGO
CASTROPOL C-14,ARMA DE FUEGO
ROBLEDO C-7,SIN EMPLEO DE ARMAS
CORDOBA,SIN EMPLEO DE ARMAS
MONTES,ARMA BLANCA / CORTOPUNZANTE
EL BOSQUE,SIN EMPLEO DE ARMAS
SAN LUIS,ARMA DE FUEGO
ALTOS DEL PRADO,ARMA DE FUEGO
BARRIO MESOPOTAMIA,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
FATIMA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
CIUDADELA HABITACIONAL SIGLO XXI,ARMA BLANCA / CORTOPUNZANTE
SIETE DE AGOSTO,SIN EMPLEO DE ARMAS
PUEBLITO,SIN EMPLEO DE ARMAS
JOSE MARIA OBANDO,ARMA BLANCA / CORTOPUNZANTE
BELLO HORIZONTE,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
EL ROSARIO,ARMA DE FUEGO
FUNDADORES,ARMA DE FUEGO
LA MANUELITA,ARMA BLANCA / CORTOPUNZANTE
VENUS,ARMA BLANCA / CORTOPUNZANTE
CANTACLARO,SIN EMPLEO DE ARMAS
NUEVA ESPERANZA,ARMA DE FUEGO
EL CENTRO,ARMA DE FUEGO
URB. ORTEZAL E-16,ARMA BLANCA / CORTOPUNZANTE
CHAPINERO ALTO E-2,CONTUNDENTES
SUBA CENTRO E-11,ARMA BLANCA / CORTOPUNZANTE
SAN ANTONIO E-1,SIN EMPLEO DE ARMAS
SANTA FE E-14,ARMA BLANCA / CORTOPUNZANTE
LOS NARANJOS E-11,SIN EMPLEO DE ARMAS
TEUSAQUILLO E-13,ARMA BLANCA / CORTOPUNZANTE
LIBERTADOR SUR E-18,SIN EMPLEO DE ARMAS
SANTA TERESITA E-13,ARMA BLANCA / CORTOPUNZANTE
BUENA VISTA E-1,CONTUNDENTES
SANTA COLOMA E-1,SIN EMPLEO DE ARMAS
SANTA INES E-3,SIN EMPLEO DE ARMAS
CHAPINERO NORTE E-2,ARMA BLANCA / CORTOPUNZANTE
NICOLAS DE FEDERMAN E-13,ARMA BLANCA / CORTOPUNZANTE
TORCA GONGORA E-1,SIN EMPLEO DE ARMAS
MARIA PAZ E-8,CONTUNDENTES
MODELIA E-9,SIN EMPLEO DE ARMAS
CASA GRANDE E-19,SIN EMPLEO DE ARMAS
URB. NUEVA ZELANDIA E-11,SIN EMPLEO DE ARMAS
URB. BELMIRA E-1,ARMA BLANCA / CORTOPUNZANTE
MODELIA E-9,ARMA BLANCA / CORTOPUNZANTE
GIBRALTAR E-11,SIN EMPLEO DE ARMAS
NUEVO TIMIZA E-8,ARMA BLANCA / CORTOPUNZANTE
LAS AMERICAS E-8,SIN EMPLEO DE ARMAS
SALITRE E-11,SIN EMPLEO DE ARMAS
CIUDAD SALITRE E-9,SIN EMPLEO DE ARMAS
LA FLORESTA E-16,ARMA BLANCA / CORTOPUNZANTE
7 DE AGOSTO E-12,ARMA DE FUEGO
SAN MIGUEL E-12,SIN EMPLEO DE ARMAS
SAN CRISTOBAL E-1,SIN EMPLEO DE ARMAS
BELLA VISTA SUR E-4,ARMA BLANCA / CORTOPUNZANTE
URB. SAN JUDAS TADEO,ARMA DE FUEGO
VEREDA EL HABRA,ARMA DE FUEGO
LOS ARRAYANES,SIN EMPLEO DE ARMAS
CANAIMA,ARMA BLANCA / CORTOPUNZANTE
ZONA INDUSTRIAL,ARMA BLANCA / CORTOPUNZANTE
MANZANARES,CONTUNDENTES
SAN FRANCISCO,ARMA BLANCA / CORTOPUNZANTE
ALCAZARES,ARMA DE FUEGO
GAIRA TRADICIONAL,ARMA BLANCA / CORTOPUNZANTE
MAMATOCO,SIN EMPLEO DE ARMAS
BELLA VISTA,ARMA BLANCA / CORTOPUNZANTE
VILLA JULIA,SIN EMPLEO DE ARMAS
SAMAN DE LA RIVERA,SIN EMPLEO DE ARMAS
SAN CARLOS,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
JULIAN BUCHELI,ARMA BLANCA / CORTOPUNZANTE
CATAMBUCO CENTRO,CONTUNDENTES
POTRERILLO,ARMA BLANCA / CORTOPUNZANTE
LAS LUNAS,ARMA BLANCA / CORTOPUNZANTE
CAPUSIGRA,ARMA BLANCA / CORTOPUNZANTE
EL PILAR,ARMA BLANCA / CORTOPUNZANTE
CHAMBU I,ARMA BLANCA / CORTOPUNZANTE
PANDIACO,CONTUNDENTES
BARRIO SAN EDUARDO,ARMA DE FUEGO
BARRIO SAN LUIS,SIN EMPLEO DE ARMAS
BARRIO BLANCO,ARMA BLANCA / CORTOPUNZANTE
BARRIO PARAMO,ARMA DE FUEGO
BARRIO LOS ALPES,ARMA DE FUEGO
BARRIO EL LLANO,CONTUNDENTES
SECTOR UNIQUINDIO,SIN EMPLEO DE ARMAS
ACACIAS,CONTUNDENTES
CENTRO,ARMA DE FUEGO
CENTRO,ARMA DE FUEGO
BOSQUE DE GIBRALTAR,SIN EMPLEO DE ARMAS
ZONA CENTRO,SIN EMPLEO DE ARMAS
CIUDADELA EL ENSUENHO,ARMA DE FUEGO
CLEMENTINA LOPEZ,SIN EMPLEO DE ARMAS
LOS MOLINOS,ARMA BLANCA / CORTOPUNZANTE
SECTOR AVENIDA DEL RIO,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
EL TULCAN  I,SIN EMPLEO DE ARMAS
CENTRO (C) PEREIRA,SIN EMPLEO DE ARMAS
MARAYA,ARMA DE FUEGO
BARRIO NATANIA,SIN EMPLEO DE ARMAS
VERSALLES,SIN EMPLEO DE ARMAS
CAFE MADRID,SIN EMPLEO DE ARMAS
EL TEJAR,SIN EMPLEO DE ARMAS
URB. BALCONCITOS,ARMA BLANCA / CORTOPUNZANTE
BUENAVISTA,ARMA BLANCA / CORTOPUNZANTE
ALFONSO LOPEZ,ARMA BLANCA / CORTOPUNZANTE
CENTRO,CONTUNDENTES
URB. ALTOS DE BELLAVISTA,ARMA BLANCA / CORTOPUNZANTE
PRADOS DEL SUR,ARMA BLANCA / CORTOPUNZANTE
VRDA. SERREZUELA,ARMA DE FUEGO
VIVEROS,ARMA BLANCA / CORTOPUNZANTE
MODELIA,ARMA BLANCA / CORTOPUNZANTE
JORDAN IV ETAPA,ARMA BLANCA / CORTOPUNZANTE
ESTACION,SIN EMPLEO DE ARMAS
LA FRANCIA,ARMA BLANCA / CORTOPUNZANTE
VARSOVIA,SIN EMPLEO DE ARMAS
HIPODROMO,ARMA BLANCA / CORTOPUNZANTE
LA POLA,SIN EMPLEO DE ARMAS
CALIMA E4,CONTUNDENTES
URB. COLSEGUROS E19,ARMA DE FUEGO
EL LIDO E19,ARMA BLANCA / CORTOPUNZANTE
PRADOS DE ORIENTE E11,ARMA DE FUEGO
CALIMA E4,ARMA DE FUEGO
MARIANO RAMOS E16,SIN EMPLEO DE ARMAS
CALYPSO E13,ARMA DE FUEGO
SAN PEDRO E3,SIN EMPLEO DE ARMAS
MELENDEZ E18,ARMA BLANCA / CORTOPUNZANTE
LOS SAUCES E11,SIN EMPLEO DE ARMAS
MOJICA E15,ARMA BLANCA / CORTOPUNZANTE
VILLA DEL PRADO - EL GUABITO E5,ARMA BLANCA / CORTOPUNZANTE
MOJICA E15,ARMA BLANCA / CORTOPUNZANTE
LA FORTALEZA E11,SIN EMPLEO DE ARMAS
LLANO VERDE E15,SIN EMPLEO DE ARMAS
URB. TEQUENDAMA E19,ARMA DE FUEGO
SAN PEDRO CLAVER E11,ARMA DE FUEGO
MELENDEZ E18,ARMA BLANCA / CORTOPUNZANTE
CIUDAD CORDOBA E15,SIN EMPLEO DE ARMAS
SAN CARLOS E11,ARMA DE FUEGO
CIUDAD CORDOBA E15,CONTUNDENTES
CHARCO AZUL E13,ARMA DE FUEGO
JOSE M. MARROQUIN II E14,ARMA BLANCA / CORTOPUNZANTE
VIA CALI CANDELARIA (23-S-6-1),ARMA BLANCA / CORTOPUNZANTE
CGTO SAN JOAQUIN (23-S-4-1),SIN EMPLEO DE ARMAS
LOS ALMENDROS,SIN EMPLEO DE ARMAS
LA TRINIDAD,ARMA BLANCA / CORTOPUNZANTE
LAS VICTORIAS,ARMA BLANCA / CORTOPUNZANTE
DOBLE CALZADA VIA ANDALUCIA-TULUA,ARMA DE FUEGO
LA TABLAZA,ARMA BLANCA / CORTOPUNZANTE
SAN PEDRO  C-4,ARMA BLANCA / CORTOPUNZANTE
ESTADIO C-11,ARMA DE FUEGO
MIRAVALLE C-16,ARMA DE FUEGO
VIA SANTA ELENA  C-9,ARMA BLANCA / CORTOPUNZANTE
CAMPO VALDES 1  C-4,ESCOPOLAMINA
CONQUISTADORES C-11,ARMA DE FUEGO
ROBLEDO C-7,SIN EMPLEO DE ARMAS
CORAZON DE JESUS C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
MORAVIA  C-4,ARMA BLANCA / CORTOPUNZANTE
CASTILLA C-5,ARMA DE FUEGO
SURAMERICANA C-11,ARMA BLANCA / CORTOPUNZANTE
SURAMERICANA C-11,ARMA DE FUEGO
CALAZANS C-12,CONTUNDENTES
LOPEZ DE MESA C-7,ARMA DE FUEGO
VILLANUEVA C-10,SIN EMPLEO DE ARMAS
PRADO C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
EL POBLADO C-14,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
CAMPO VALDES 1  C-4,SIN EMPLEO DE ARMAS
ESTADIO C-11,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA DE FUEGO
EL TESORO C-14,SIN EMPLEO DE ARMAS
SAN BENITO C-10,ARMA BLANCA / CORTOPUNZANTE
VEREDA LA PASTORA,ARMA DE FUEGO
PRADO,ARMA DE FUEGO
SANTO DOMINGO DE GUZMAN,ARMA BLANCA / CORTOPUNZANTE
PRADO,ARMA DE FUEGO
CHAMBACU,SIN EMPLEO DE ARMAS
SANTO DOMINGO,CONTUNDENTES
BARRIO PATRIOTAS,CONTUNDENTES
BARRIO OBRERO,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
LAS AMERICAS C-4,SIN EMPLEO DE ARMAS
LA CASTILLA,ARMA DE FUEGO
SAN JUDAS,SIN EMPLEO DE ARMAS
CENTRO,CONTUNDENTES
LA CAMPINHA,ARMA BLANCA / CORTOPUNZANTE
LA CAMPINHA,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,SIN EMPLEO DE ARMAS
LA PAMBA,ARMA BLANCA / CORTOPUNZANTE
MARIA OCCIDENTE,SIN EMPLEO DE ARMAS
MARIA OCCIDENTE,SIN EMPLEO DE ARMAS
MARIA OCCIDENTE,SIN EMPLEO DE ARMAS
VDA EL MINGO,ARMA DE FUEGO
LIMONAR,SIN EMPLEO DE ARMAS
CIUDADELA CLEMENTE QUINTERO,ARMA DE FUEGO
VILLA NUEVA,ARMA DE FUEGO
LA BOMBA,ARMA DE FUEGO
URB. COLON E-16,ARMA BLANCA / CORTOPUNZANTE
PARQUE NACIONAL E-3,ARMA BLANCA / CORTOPUNZANTE
PARQUE NACIONAL E-3,ARMA BLANCA / CORTOPUNZANTE
CHICO NAVARRA E-1,SIN EMPLEO DE ARMAS
CHICO NORTE I E-2,CONTUNDENTES
LA PATRIA E-12,ARMA BLANCA / CORTOPUNZANTE
LA PERSEVERANCIA E-3,SIN EMPLEO DE ARMAS
VILLA ELISA E-11,ARMA BLANCA / CORTOPUNZANTE
LA PORCIUNCULA E-2,ARMA BLANCA / CORTOPUNZANTE
PRADO VERANIEGO E-11,SIN EMPLEO DE ARMAS
CHAPINERO CENTRAL E-2,ARMA BLANCA / CORTOPUNZANTE
VILLA DEL RINCON E-11,ARMA BLANCA / CORTOPUNZANTE
OLARTE E-7,SIN EMPLEO DE ARMAS
SUBA CENTRO E-11,SIN EMPLEO DE ARMAS
URB. CASTILLA E-8,SIN EMPLEO DE ARMAS
TIBABITA E-1,ARMA BLANCA / CORTOPUNZANTE
EL CAMPIN E-13,ESCOPOLAMINA
LA PERSEVERANCIA E-3,ARMA BLANCA / CORTOPUNZANTE
HIPOTECHO OCCIDENTAL E-8,ARMA BLANCA / CORTOPUNZANTE
SANTA FE E-14,CONTUNDENTES
ZARZAMORA E-10,ARMA BLANCA / CORTOPUNZANTE
VERAGUAS CENTRAL IV SECTOR E-16,ARMA BLANCA / CORTOPUNZANTE
EL PINAR E-11,SIN EMPLEO DE ARMAS
LAGO GAITAN E-2,SIN EMPLEO DE ARMAS
SAN MARTIN E-2,SIN EMPLEO DE ARMAS
LA SOLEDAD E-13,ARMA BLANCA / CORTOPUNZANTE
URB. EL BATAN E-11,SIN EMPLEO DE ARMAS
TEUSAQUILLO E-13,SIN EMPLEO DE ARMAS
TEUSAQUILLO E-13,SIN EMPLEO DE ARMAS
SAN PEDRO E-11,ARMA DE FUEGO
GALERIAS E-13,ARMA DE FUEGO
VEINTE DE JULIO E-4,SIN EMPLEO DE ARMAS
VILLA SANDRA E-10,ARMA BLANCA / CORTOPUNZANTE
JOSE JOAQUIN VARGAS E-12,SIN EMPLEO DE ARMAS
LA FAVORITA E-14,ARMA BLANCA / CORTOPUNZANTE
CIUDAD JARDIN SUR E-15,SIN EMPLEO DE ARMAS
LAS DELICIAS   E-8,SIN EMPLEO DE ARMAS
SAN PABLO I E-7,ARMA BLANCA / CORTOPUNZANTE
CENTRO ADMINISTRATIVO E-17,SIN EMPLEO DE ARMAS
VEINTE DE JULIO E-4,ARMA BLANCA / CORTOPUNZANTE
URB. MIRANDELA E-11,ARMA BLANCA / CORTOPUNZANTE
GAITAN E-12,SIN EMPLEO DE ARMAS
QUESADA E-13,SIN EMPLEO DE ARMAS
EL PINAR E-11,ARMA BLANCA / CORTOPUNZANTE
BUENOS AIRES E-4,ARMA BLANCA / CORTOPUNZANTE
CIUDAD VERDE,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
BUENOS AIRES,ARMA DE FUEGO
LIBERTADOR,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
ABAJO,ARMA DE FUEGO
BUGANVILES,SIN EMPLEO DE ARMAS
SAN JOSE,ARMA DE FUEGO
GAIRA MAR,ARMA BLANCA / CORTOPUNZANTE
PREDIOS POZOS COLORADOS,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ESCOPOLAMINA
TROCHA 12,CONTUNDENTES
TROCHA 12,CONTUNDENTES
COVISAN,ARMA BLANCA / CORTOPUNZANTE
SAN BENITO,SIN EMPLEO DE ARMAS
VILLA JULIA,CONTUNDENTES
MARIDIAZ,SIN EMPLEO DE ARMAS
NUEVA ARANDA,ARMA DE FUEGO
LA CAROLINA,SIN EMPLEO DE ARMAS
BARRIO ZULIMA,ARMA DE FUEGO
SAN JERONIMO,ARMA DE FUEGO
URBANIZACION MARINA,ARMA BLANCA / CORTOPUNZANTE
LA PAVONA,ARMA DE FUEGO
PROFESIONALES,SIN EMPLEO DE ARMAS
SAN JOSE,SIN EMPLEO DE ARMAS
ZONA CENTRO,ARMA BLANCA / CORTOPUNZANTE
BERLIN,CONTUNDENTES
BELALCAZAR COMUNA UNIVERSIDAD,ARMA DE FUEGO
CORALES,SIN EMPLEO DE ARMAS
AMERICA,SIN EMPLEO DE ARMAS
BARRIO SARIE BAY,SIN EMPLEO DE ARMAS
PRIMERO DE MAYO,SIN EMPLEO DE ARMAS
URB. VILLAROSITA,SIN EMPLEO DE ARMAS
GALAN GOMEZ,SIN EMPLEO DE ARMAS
ALTOS DEL CAMPESTRE,ARMA BLANCA / CORTOPUNZANTE
KENNEDY,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
SOTOMAYOR,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
CABECERA DEL LLANO,SIN EMPLEO DE ARMAS
CAMPO HERMOSO,SIN EMPLEO DE ARMAS
CAMPO HERMOSO,ARMA BLANCA / CORTOPUNZANTE
LA CONCORDIA,SIN EMPLEO DE ARMAS
EL ROCIO,ARMA BLANCA / CORTOPUNZANTE
EL ROCIO,ARMA DE FUEGO
EL ROCIO,ARMA DE FUEGO
LA CONCORDIA,SIN EMPLEO DE ARMAS
CARACOLI,ARMA BLANCA / CORTOPUNZANTE
CANHAVERAL,SIN EMPLEO DE ARMAS
LA TRINIDAD,ARMA BLANCA / CORTOPUNZANTE
CASCO ANTIGUO,ARMA DE FUEGO
CASCO ANTIGUO,ARMA DE FUEGO
CIUDADELA NUEVO GIRON,ARMA DE FUEGO
LA POLA,SIN EMPLEO DE ARMAS
JAZMIN,ARMA BLANCA / CORTOPUNZANTE
SANTANDER,SIN EMPLEO DE ARMAS
TUNAL,ARMA BLANCA / CORTOPUNZANTE
ALFONSO LOPEZ,ARMA BLANCA / CORTOPUNZANTE
ALAMEDA,SIN EMPLEO DE ARMAS
SILOE E20,SIN EMPLEO DE ARMAS
LOS GUADUALES E6,SIN EMPLEO DE ARMAS
CGTO. LA SIRENA E19,SIN EMPLEO DE ARMAS
PARQUE DE LA CANHA E7,ARMA DE FUEGO
PARQUE DEL AMOR-AREA LIBRE E2,ARMA DE FUEGO
LAS ACACIAS E10,ARMA BLANCA / CORTOPUNZANTE
MOJICA E15,ARMA BLANCA / CORTOPUNZANTE
VIPASA E2,SIN EMPLEO DE ARMAS
VILLACOLOMBIA E8,CONTUNDENTES
SAN FERNANDO NUEVO E19,CONTUNDENTES
PARQUE DEL AMOR-AREA LIBRE E2,ARMA DE FUEGO
LEON XIII E11,ARMA BLANCA / CORTOPUNZANTE
LILI E17,ARMA DE FUEGO
FATIMA L,SIN EMPLEO DE ARMAS
SANTA BARBARA,ARMA BLANCA / CORTOPUNZANTE
LAS PALMERAS,SIN EMPLEO DE ARMAS
LA ESTANCIA E25,ARMA BLANCA / CORTOPUNZANTE
SAN MARCOS,SIN EMPLEO DE ARMAS
SAN MIGUEL,ARMA BLANCA / CORTOPUNZANTE
ESTACION VILLA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,CONTUNDENTES
GUAYAQUIL C-10,SIN EMPLEO DE ARMAS
VILLANUEVA C-10,SIN EMPLEO DE ARMAS
AURES C-7,ARMA BLANCA / CORTOPUNZANTE
SANTA MONICA C-12,ARMA DE FUEGO
MANRIQUE 2  C-3,ARMA BLANCA / CORTOPUNZANTE
CARIBE C-5,ARMA DE FUEGO
CUARTA BRIGADA C-11,ARMA DE FUEGO
LA CANDELARIA C-10,CONTUNDENTES
SANTA FE C-15,ARMA DE FUEGO
TEJELO C-5,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
SIMON BOLIVAR C-12,SIN EMPLEO DE ARMAS
CERRO EL VOLADOR C-7,ARMA DE FUEGO
LA COLINA C-15,ARMA DE FUEGO
BELEN C-16,ARMA DE FUEGO
GUAYABAL C-15,ARMA DE FUEGO
CONIDEC,ARMA BLANCA / CORTOPUNZANTE
CENTRO,CONTUNDENTES
20 DE JULIO,ARMA BLANCA / CORTOPUNZANTE
SAN ROQUE,CONTUNDENTES
LA SIERRA,ARMA BLANCA / CORTOPUNZANTE
OLAYA HERRERA,SIN EMPLEO DE ARMAS
LA ESPERANZA,ARMA DE FUEGO
PETARE,ARMA DE FUEGO
SAN JUAN BOSCO,SIN EMPLEO DE ARMAS
BARRIO CENTRO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
OLAYA HERRERA,ARMA BLANCA / CORTOPUNZANTE
OLAYA HERRERA,SIN EMPLEO DE ARMAS
BARRIO LA COLINA,SIN EMPLEO DE ARMAS
LA PRIMAVERA,ARMA DE FUEGO
SECTOR LA ESTAMPILLA,ARMA DE FUEGO
LINARES,SIN EMPLEO DE ARMAS
LINARES,SIN EMPLEO DE ARMAS
SAN MARTIN,ARMA BLANCA / CORTOPUNZANTE
1RO DE MAYO,ARMA BLANCA / CORTOPUNZANTE
PANDIGUANDO,ARMA BLANCA / CORTOPUNZANTE
CIUDAD JARDIN,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
LA PRIMAVERA,ARMA BLANCA / CORTOPUNZANTE
CAMPAMENTO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
JORGE ELIECER GAITAN,ARMA BLANCA / CORTOPUNZANTE
URB.DON ALBERTO,SIN EMPLEO DE ARMAS
VILLA ARCADIA,ARMA DE FUEGO
LA POPA,ARMA DE FUEGO
LA ESPERANZA,ARMA BLANCA / CORTOPUNZANTE
JUAN XVIII,ARMA DE FUEGO
LOS LAURELES,CONTUNDENTES
SANTANDER,ARMA DE FUEGO
PRADO VERANIEGO E-11,SIN EMPLEO DE ARMAS
BARRIOS UNIDOS E-12,SIN EMPLEO DE ARMAS
SAN DIEGO E-3,SIN EMPLEO DE ARMAS
VENECIA E-6,ARMA BLANCA / CORTOPUNZANTE
LAS CRUCES E-3,ARMA DE FUEGO
BOSA E-7,SIN EMPLEO DE ARMAS
URB. BETANIA E-7,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA E-17,SIN EMPLEO DE ARMAS
LAS ORQUIDEAS E-1,ARMA BLANCA / CORTOPUNZANTE
LUCERO MEDIO E-19,SIN EMPLEO DE ARMAS
CHICO NORTE I E-2,SIN EMPLEO DE ARMAS
EL CENTENARIO E-18,ARMA BLANCA / CORTOPUNZANTE
VILLA ALSACIA E-8,ARMA BLANCA / CORTOPUNZANTE
ALCALA  E-11,ARMA DE FUEGO
VILLA ALEXANDRA E-11,SIN EMPLEO DE ARMAS
BARRIOS UNIDOS E-12,SIN EMPLEO DE ARMAS
LA PORCIUNCULA E-2,SIN EMPLEO DE ARMAS
VENECIA E-6,SIN EMPLEO DE ARMAS
BANDERAS E-8,SIN EMPLEO DE ARMAS
LAS CRUCES E-3,CONTUNDENTES
LA CATEDRAL E-17,SIN EMPLEO DE ARMAS
MANDALAY I ETAPA E-8,SIN EMPLEO DE ARMAS
SAN CRISTOBAL NORTE E-1,ARMA BLANCA / CORTOPUNZANTE
CHAPINERO CENTRAL E-2,CONTUNDENTES
EL TINTAL E-8,ARMA BLANCA / CORTOPUNZANTE
SAN CAYETANO E-11,SIN EMPLEO DE ARMAS
SAN CRISTOBAL E-1,ARMA BLANCA / CORTOPUNZANTE
PATIO BONITO I E-8,ARMA BLANCA / CORTOPUNZANTE
ARBORIZADORA ALTA E-19,SIN EMPLEO DE ARMAS
EL CODITO E-1,ARMA DE FUEGO
BACHUE E-10,ARMA BLANCA / CORTOPUNZANTE
URB. MAZUREN I SECTOR E-11,ARMA BLANCA / CORTOPUNZANTE
OLAYA E-18,SIN EMPLEO DE ARMAS
LA CATEDRAL E-17,ARMA BLANCA / CORTOPUNZANTE
SAN VICTORINO E-3,SIN EMPLEO DE ARMAS
PALOQUEMAO E-14,ARMA BLANCA / CORTOPUNZANTE
SANTA FE E-14,SIN EMPLEO DE ARMAS
CIUDAD JARDIN SUR E-15,ARMA BLANCA / CORTOPUNZANTE
PIEDRA HERRADA E-11,ARMA DE FUEGO
NIZA SUBA E-11,ARMA BLANCA / CORTOPUNZANTE
LA ESTRELLA DEL SUR E-19,CONTUNDENTES
FERIAS E-10,SIN EMPLEO DE ARMAS
BELLAVISTA ALTA E-5,SIN EMPLEO DE ARMAS
FATIMA E-6,ARMA BLANCA / CORTOPUNZANTE
GALERIAS E-13,SIN EMPLEO DE ARMAS
PALOQUEMAO E-14,SIN EMPLEO DE ARMAS
ARBORIZADORA ALTA E-19,SIN EMPLEO DE ARMAS
EL CENTENARIO E-18,SIN EMPLEO DE ARMAS
SALAZAR GOMEZ E-16,SIN EMPLEO DE ARMAS
VILLA ALEXANDRA E-11,SIN EMPLEO DE ARMAS
EL LLANITO E-8,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
VILLA JARDIN,SIN EMPLEO DE ARMAS
PRIMERO DE MAYO,ARMA DE FUEGO
SANTA ISABEL,ARMA BLANCA / CORTOPUNZANTE
LARA BONILLA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ESCOPOLAMINA
EL JARDIN,ARMA DE FUEGO
EL JARDIN,ARMA DE FUEGO
BOSQUES DE LA RIVIERA,ARMA DE FUEGO
CENTRO (C-1),SIN EMPLEO DE ARMAS
BALCONES DEL LIBERTADOR,ARMA DE FUEGO
VAINILLA,ARMA BLANCA / CORTOPUNZANTE
PORFIA,SIN EMPLEO DE ARMAS
JORDAN ALTO,CONTUNDENTES
CIUDAD PORFIA,ARMA BLANCA / CORTOPUNZANTE
PANDIACO,SIN EMPLEO DE ARMAS
MARIDIAZ,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
SAN CARLOS,SIN EMPLEO DE ARMAS
SAN CARLOS,SIN EMPLEO DE ARMAS
AGUALONGO,ARMA DE FUEGO
BARRIO LA VICTORIA,ARMA DE FUEGO
BARRIO LATINO,ARMA DE FUEGO
CENTRO,SIN EMPLEO DE ARMAS
SECTRO UNIVERSIDAD EAM,SIN EMPLEO DE ARMAS
SECTRO UNIVERSIDAD EAM,SIN EMPLEO DE ARMAS
VERSALLES,ARMA DE FUEGO
