BARRIO,EDAD
ALGARROBO,ADULTO
CENTRO,ADULTO
LA FRAGUA,ADULTO
LA FRAGUA,ADULTO
POSTOBON,ADULTOJOVEN
SOLIDARIDAD,ADULTOJOVEN
ALAMEDA,ADULTO
VILLA DOCENTE,OTRA
CHAMPAGNHA,ADULTO
RETIRO BAJO,ADULTO
EL CENTRO,ADULTOJOVEN
VEREDA BESITO VOLADO,ADULTOJOVEN
VIA MONTERIA -PLANETA RICA,ADULTO
URB. LA COLINA CAMPESTRE I SECTOR E-11,ADULTOJOVEN
CHAPINERO NORTE E-2,ADULTOJOVEN
CHAPINERO NORTE E-2,ADULTO
CHAPINERO NORTE E-2,ADULTO
ALQUERIA LA FRAGUA E-8,ADULTO
NICOLAS DE FEDERMAN E-13,ADULTOMAYOR
GUSTAVO RESTREPO E-18,ADULTO
VENECIA E-6,ADULTOJOVEN
CHICO NORTE II SECTOR E-1,ADULTOJOVEN
SAN ANTONIO E-15,ADULTO
EL RINCON E-11,ADULTOJOVEN
LOS CEDRITOS E-1,ADULTO
VILLA MAYOR E-15,ADULTO
CENTRO,ADULTO
31 DE OCTUBRE,ADULTOJOVEN
31 DE OCTUBRE,ADULTOJOVEN
EL CENTRO,ADULTOMAYOR
QUIRINAL,ADULTO
LAS  MERCEDES,ADULTO
CENTRO,ADULTOJOVEN
VEREDA MATEO RICO,ANCIANO
CENTRO HISTORICO,ADULTO
CENTRO HISTORICO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
MONTECARLO,ADULTO
BRISAS DEL GUATIQUIA,ADULTOJOVEN
CENTRO,ADULTOMAYOR
LA ESPERANZA,ADULTO
VILLA MELIDA,ADULTOJOVEN
CANAAN,ADULTOJOVEN
LA ESMERALDA,ADULTOMAYOR
CENTRO,ADULTOMAYOR
CENTRO,ADULTOJOVEN
PIAMONTE,ADULTO
CENTRO,ANCIANO
CENTRO,ADULTOJOVEN
MONTECARLO,ADULTOMAYOR
GAVIOTAS,ADULTOJOVEN
CENTRO,ADULTO
VEREDA APIAY,ADULTOMAYOR
20 DE JULIO,ADULTO
CENTRO,ADULTOJOVEN
SAN FELIPE,ADULTOJOVEN
CENTRO,ADULTO
20 DE JULIO,ADULTOJOVEN
20 DE JULIO,ADULTO
CENTRO,ADULTO
OBRERO,ADULTOJOVEN
SANTANDER,ADULTOJOVEN
CENTRO,ADULTOJOVEN
EMILIO BOTERO,ADULTO
SAN ANDRES,ADULTOMAYOR
CENTRO,ADULTOJOVEN
CENTRO,ADULTOMAYOR
