BARRIO,MOVILVICTIMA
ALTAMIRA,VEHICULO
CENTRAL,A PIE
LAS FLORES,VEHICULO
CAMILO CORTEZ,A PIE
MARCELIANO CANYES,A PIE
EL CAUNZAL,A PIE
MANZANAREZ,A PIE
CIUDADELA DEL NORTE,A PIE
CIUDADELA DEL NORTE,VEHICULO
CIUDADELA DEL NORTE,MOTOCICLETA
BRISAS DE URABA,A PIE
LA MINA,A PIE
SAN JOSE,A PIE
CENTRO,A PIE
TRIANA,A PIE
SANTA MARIA # 3,A PIE
EL DORADO,A PIE
SEVILLA  C-4,A PIE
LAURELES C-11,A PIE
JARDIN BOTANICO  C-4,A PIE
LOS CERROS EL VERGEL  C-9,A PIE
ASTORGA C-14,A PIE
LA FRANCIA  C-2,A PIE
PRADO C-10,A PIE
VILLANUEVA C-10,A PIE
LOS PINOS C-12,VEHICULO
ESTACION VILLA C-10,A PIE
CORDOBA C-7,TRANSPORTE PUBLICO
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
EL POBLADO C-14,A PIE
ROSALES C-16,A PIE
DON BOSCO,A PIE
SAN ROQUE,A PIE
EL RECREO,A PIE
CENTRO,A PIE
SILENCIO,A PIE
CENTRO,A PIE
REBOLO,A PIE
CIUDADELA 20 DE JULIO,A PIE
BARRIO BOYACA ALTO,A PIE
SANTANDER,A PIE
BARRIO CENTRO,A PIE
SEVILLA,A PIE
VILLA UNIVERSITARIA,A PIE
CENTRO,A PIE
VDA PURNIO,TRANSPORTE PUBLICO
SECTOR EL CABLE,A PIE
SECTOR EL CABLE,A PIE
CENTRO,A PIE
SECTOR BELLAS ARTES,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
CENTRO,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
SECTOR EL CABLE,A PIE
EL RAICERO,VEHICULO
VILLAMONICA,A PIE
EL CENTRO,MOTOCICLETA
VILLA MARIA,A PIE
LUIS MARIA JIMENEZ,A PIE
HOBO,A PIE
LOS ALMENDROS,A PIE
LOS ALMENDROS,A PIE
URBANIZACION PERPETUO SOCORRO,A PIE
VEREDA,A PIE
GALAN,A PIE
URB. LA RIVIERA,VEHICULO
CHUCHURUBI,A PIE
SIMON BOLIVAR,A PIE
LA ESTRADA E-10,A PIE
LOS CEDRITOS E-1,A PIE
LA CAPUCHINA E-3,A PIE
RESTREPO E-15,TRANSPORTE PUBLICO
LA GIRALDA E-9,A PIE
LAGO GAITAN E-2,A PIE
LAS DELICIAS   E-8,A PIE
NIZA XII E-11,A PIE
SANTA MATILDE I SECTOR E-16,VEHICULO
SAMPER E-3,A PIE
BOSQUE CALDERON E-2,A PIE
POLO CLUB E-12,A PIE
SANTA ISABEL E-14,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
SAN ANTONIO E-15,TRANSPORTE PUBLICO
CHICO I E-2,TRANSPORTE PUBLICO
EL CENTENARIO E-18,VEHICULO
TINTAL    E-8,A PIE
VILLA DEL RINCON E-11,A PIE
CENTRO ANTONIO NARINHO E-13,A PIE
VENECIA E-6,A PIE
QUIROGA IHS ETAPA E-18,A PIE
CHAPINERO CENTRAL E-2,A PIE
URB. MANUELA BELTRAN E-19,A PIE
URB. LA PUERTA DEL SOL E-11,A PIE
CHICO I E-2,A PIE
MARIA PAZ E-8,A PIE
CHICO NAVARRA E-1,A PIE
URB. CLARET EL CARMEN E-6,A PIE
MARIA PAZ E-8,A PIE
LAS MARGARITAS E-8,TRANSPORTE PUBLICO
QUIROGA VII ETAPA E-18,A PIE
GALAN,A PIE
CENTRO,A PIE
BARRIO LA ESPERANZA,A PIE
URBANIZACION EL TESORO,A PIE
URBANIZACION EL TESORO,MOTOCICLETA
SAN FRANCISCO DE ASIS,A PIE
SAN FRANCISCO DE ASIS,A PIE
RAFAEL AZUERO MANCHOLA,A PIE
SUCRE,A PIE
LOS PINOS,A PIE
TEYUNA,MOTOCICLETA
DON DIEGO,A PIE
CENTRO,A PIE
RODADERO TRADICIONAL,A PIE
CENTRO,A PIE
VEREDA BARCELONA,A PIE
COMUNEROS,A PIE
LA ESPERANZA VII ETAPA,A PIE
CAUDAL ORIENTAL,A PIE
PORVENIR,A PIE
CAMINO REAL,A PIE
GUATIQUIA,A PIE
MONTECARLO,A PIE
20 DE JULIO,A PIE
YERBABUENA,A PIE
AVENIDA PANAMERICANA,A PIE
CENTRO,A PIE
CRUZ VERDE,A PIE
CRUZ VERDE,A PIE
OBRERO,A PIE
AVENIDA PANAMERICANA,A PIE
LORENZO,A PIE
MARILUZ,A PIE
MIRAFLORES I,A PIE
LA AURORA,A PIE
CHAPAL,A PIE
BARRIO QUINTA VELEZ,A PIE
BARRIO SANTO DOMINGO,A PIE
BARRIO LATINO,A PIE
BARIO LA RIVIERA,A PIE
BARRIO PATIO CENTRO,A PIE
BARRIO SAN AGUSTIN,A PIE
BARRIO SAN AGUSTIN,A PIE
CENTRO,A PIE
MONTEVIDEO,A PIE
ZONA CENTRO,A PIE
PINARES DE SAN MARTIN,A PIE
JARDIN I,VEHICULO
OLAYA HERRERA,A PIE
PRIMERO DE FEBRERO 1,A PIE
SECTOR VIADUCTO,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
LA ISLA (V/SANTANA),A PIE
B. SAN VICENTE DE PAUL,A PIE
B. SAN VICENTE DE PAUL,A PIE
SANTA ANA,A PIE
