BARRIO,MOVILVICTIMA
LA ESPERANZA (26-1),A PIE
KILOMETROS,A PIE
ZONA CENTRO,A PIE
PARIS CENTRAL,MOTOCICLETA
NIQUIA CAMACOL,A PIE
EL PORTAL,A PIE
SAN FERNANDO,A PIE
CENTRO,TRANSPORTE PUBLICO
EL POBLADO C-14,VEHICULO
BOLIVARIANA C-11,VEHICULO
CENTRO S.C.,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
LA ROSA  C-2,A PIE
LA FLORESTA C-12,A PIE
ROSALES C-16,A PIE
FLORIDA NUEVA C-11,A PIE
EL DIAMANTE C-7,A PIE
PRADO C-10,A PIE
VILLA SAN PEDRO II,VEHICULO
LOS OLIVOS I,A PIE
BOSTON,A PIE
EL MORRITO,A PIE
LA FERIA,A PIE
LOS JARDINES,A PIE
LOS CARACOLES,A PIE
BRUSELAS,A PIE
ARBOLEDA,A PIE
CENTRO,TRANSPORTE PUBLICO
CENTRO,A PIE
CENTRO,TRANSPORTE PUBLICO
LA CAROLA,A PIE
MALHABAR,MOTOCICLETA
VILLA CONSUELO,A PIE
NUEVA ESPERANZA,A PIE
SANTA ANITA,A PIE
VDA EL LLANITO,A PIE
CASIMIRO MASTRE,A PIE
SAN MARTIN,A PIE
YESQUITA,A PIE
SANTA ANA,A PIE
BOGOTA,A PIE
MONTEVERDE,MOTOCICLETA
BALBOA,A PIE
POLO CLUB E-12,A PIE
CASTILLA LA NUEVA E-8,A PIE
LA CANDELARIA E-17,A PIE
LA CANDELARIA E-17,TRANSPORTE PUBLICO
LA CATEDRAL E-3,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
EL CAMPIN E-13,A PIE
VEINTE DE JULIO E-4,A PIE
VENECIA E-6,TRANSPORTE PUBLICO
VERAGUAS CENTRAL IV SECTOR E-16,A PIE
SANTA MARIA DEL LAGO E-10,A PIE
LOS ALPES E-4,A PIE
CHAPINERO ALTO E-2,A PIE
LA AURORA E-12,TRANSPORTE PUBLICO
SAN CRISTOBAL E-4,A PIE
OLAYA E-18,TRANSPORTE PUBLICO
ABRAHAM LINCON E-6,A PIE
CORDOBA E-4,A PIE
RESTREPO E-15,A PIE
GAITAN E-12,VEHICULO
LOS CEDRITOS E-1,A PIE
LA ESPERANZA E-12,A PIE
LOS ANDES E-12,A PIE
MANDALAY I ETAPA E-8,A PIE
LA ESPERANZA E-7,A PIE
VILLA ELISA E-11,A PIE
LAS AMERICAS E-8,A PIE
NAVARRA E-1,A PIE
7 DE AGOSTO E-12,A PIE
VILLAS DEL DORADO E-10,A PIE
CIUDAD BERNA E-15,A PIE
SANTA ISABEL E-14,A PIE
ALAMEDA E-3,A PIE
ENGATIVA E-10,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
CHICALA E-7,A PIE
CASTILLA REAL     E-8,A PIE
NAVARRA E-1,A PIE
GOMEZ DAZA,A PIE
IGUARAYA,A PIE
PARAISO,A PIE
ALTICO,MOTOCICLETA
SAN FRANCISCO DE ASIS,A PIE
ASENTAMIENTO LA PROVINCIA,A PIE
JARDIN,A PIE
PORTAL DE LA 19,A PIE
CORALINA,A PIE
VILLA ORTIZ I,A PIE
CENTRO,A PIE
PLAZA DEL CARNAVAL,A PIE
MARILUZ,A PIE
ESMERALDA,A PIE
SAN IGNACIO,A PIE
CHAPAL,A PIE
CENTRO,A PIE
TEJAR,A PIE
CHAPAL,A PIE
AV. SANTANDER,A PIE
FATIMA,A PIE
BARRIO LA PLAYA,A PIE
BARRIO CENTRO,A PIE
BARRIO PATIO CENTRO,A PIE
LA SOLEDAD,A PIE
EL PROGRESO,A PIE
SECTOR GOBERNACION,A PIE
CENTRO (A) PEREIRA,A PIE
JOSE ANTONIO GALAN,A PIE
ALCAZAR,MOTOCICLETA
LA AURORA,A PIE
SAN ALONSO,A PIE
SAN RAFAEL,TRANSPORTE PUBLICO
LOS PINOS,A PIE
MANUELA BELTRAN I,A PIE
CABECERA DEL LLANO,TRANSPORTE PUBLICO
SAN LUIS,A PIE
EL CENTRO,A PIE
URB. ALTOS DE BELLAVISTA,A PIE
LA CUMBRE,A PIE
LAGOS I,A PIE
CHACARITA,A PIE
NORMANDIAZ,A PIE
SAN RAFAEL,A PIE
BELEN,A PIE
LAS FERIAS,A PIE
JUAN 23,A PIE
SUCRE E9,VEHICULO
PARCELACIONES PANCE E22,VEHICULO
SAN FERNANDO VIEJO E19,A PIE
SIETE DE AGOSTO E7,TRANSPORTE PUBLICO
SUCRE E9,A PIE
EL PENHON E3,A PIE
SAN PEDRO E3,A PIE
EUCARISTICO E19,A PIE
EL CORTIJO E20,A PIE
VERSALLES E2,TRANSPORTE PUBLICO
SAN PEDRO E3,A PIE
EL LIMONAR E17,A PIE
EL SENA E5,A PIE
TERRON COLORADO E1,A PIE
PUEBLO NUEVO (27-1),A PIE
INDUSTRIAL,A PIE
VERSALLES,A PIE
LA TRINIDAD,A PIE
CENTRO,A PIE
CENTRAL,A PIE
PEDREGAL,A PIE
BUCAREST,A PIE
YARUMITO,A PIE
SAN JUAN DE DIOS,A PIE
LA CANDELARIA C-10,A PIE
LA ROSA  C-2,A PIE
MORAVIA  C-4,A PIE
LA CANDELARIA C-10,A PIE
GUAYABAL C-15,A PIE
ESTACION VILLA C-10,A PIE
BARRIO COLOMBIA C-14,A PIE
EL POBLADO C-14,A PIE
CIUDADELA 20 DE JULIO,A PIE
CENTRO,A PIE
MIRAMAR,A PIE
BOLIVAR,A PIE
LOS ALMENDROS,A PIE
BARRIO CHINO,TRANSPORTE PUBLICO
BARRIO SAN CARLOS,A PIE
CENTRO,A PIE
CENTRO,A PIE
PUERTA DEL SOL,MOTOCICLETA
SAN RAFAEL,A PIE
VELEZ,A PIE
UNIDOS,A PIE
TORRES DEL RIO,A PIE
SAN IGNACIO,A PIE
SAN MARTIN,A PIE
TOBIAS DAZA,A PIE
12 DE OCTUBRE,A PIE
1º DE MAYO,A PIE
LA UNIÒN,A PIE
VILLA REAL,A PIE
MOGAMBITO,A PIE
SANTA ISABEL E-14,A PIE
BOSQUES DE MODELIA E-9,A PIE
EL PINAR E-11,A PIE
NORMANDIA E-10,A PIE
LOS CEDRITOS E-1,TRANSPORTE PUBLICO
MINUTO DE DIOS E-10,A PIE
LA FAVORITA E-14,A PIE
CANDELARIA III-IV E-19,A PIE
URB. PONTEVEDRA I SECTOR E-11,A PIE
GRAN BRITALIA E-8,TRANSPORTE PUBLICO
SAN CRISTOBAL ALTO E-4,TRANSPORTE PUBLICO
BELLAVISTA SUR ORIENTAL E-4,A PIE
LA CANDELARIA E-17,A PIE
URB. MAZUREN I SECTOR E-11,A PIE
BARRIOS UNIDOS E-12,A PIE
QUINTA RAMOS E-4,A PIE
EL RESTREPO E-15,A PIE
OLARTE E-7,TRANSPORTE PUBLICO
VILLA DEL RIO E-7,A PIE
EL LISTON E-14,A PIE
POLO OCCIDENTAL E-12,A PIE
URB. PUENTE ARANDA E-16,A PIE
LOS HAYUELOS E-9,A PIE
TEUSAQUILLO E-13,A PIE
LA PORCIUNCULA E-2,TRANSPORTE PUBLICO
BOCHICA E-10,A PIE
GAITAN E-12,TRANSPORTE PUBLICO
INDUSTRIAL CENTENARIO III SECTOR E-16,TRANSPORTE PUBLICO
PASADENA ROYAL E-11,A PIE
TEUSAQUILLO E-13,A PIE
GORGONZOLA E-16,A PIE
LA FAVORITA E-14,A PIE
GALERIAS E-13,A PIE
TABORA E-10,A PIE
LA ESPANHOLA E-10,A PIE
CHAPINERO CENTRAL E-2,A PIE
VERBENAL E-1,BICICLETA
EL AMPARO E-8,A PIE
JOSE ANTONIO GALAN E-7,TRANSPORTE PUBLICO
PORVENIR LA CONCEPCION E-7,A PIE
CHICALA E-7,A PIE
LAS DELICIAS   E-8,A PIE
LA ESTANZUELA E-14,A PIE
CIUDAD KENNEDY SUR   E-8,A PIE
LUCERO ALTO E-19,A PIE
PORTAL DEL RINCON E-18,TRANSPORTE PUBLICO
OLAYA E-18,A PIE
CENTRO,A PIE
LAS TUNAS,MOTOCICLETA
CENTRO,A PIE
CUARTO CENTENARIO,A PIE
GAIRA TRADICIONAL,A PIE
CENTRO,A PIE
VEREDA EL MEREY,A PIE
CATATUMBO,A PIE
MORICHAL,-
VILLA SUAREZ,A PIE
SAN ISIDRO,A PIE
LA CEIBA,A PIE
SANTA MONICA,A PIE
LAS LUNAS,A PIE
LAS LUNAS,A PIE
LAS LUNAS,A PIE
SANTA MONICA,A PIE
LA ROSA,A PIE
CENTRO,A PIE
LAS CORALINAS,A PIE
BARRIO COLSAG,A PIE
BARRIO POPULAR,A PIE
BARRIO QUINTA ORIENTAL,A PIE
BARRIO SIGLO XXI,A PIE
BARRIO 28 DE FEBRERO,A PIE
BARRIO LA CAPELLANA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
LA PRADERA,A PIE
SAN ANTONIO,BICICLETA
MALAGA,VEHICULO
PLAZA CIVICA CIUDAD VICTORIA,A PIE
PINARES DE SAN MARTIN,A PIE
EL CAMPESTRE,A PIE
EL CAMPESTRE,A PIE
PROVENZA,A PIE
LA UNIVERSIDAD,A PIE
NUEVA GRANADA,MOTOCICLETA
CABECERA DEL LLANO,TRANSPORTE PUBLICO
ALFONSO LOPEZ,A PIE
SOTOMAYOR,A PIE
MOLINOS BAJOS,A PIE
BUCARICA,A PIE
LAGOS II,A PIE
SANTA CRUZ,A PIE
JUNIN,A PIE
CENTRO P/TA,A PIE
ARRABAL,A PIE
NUEVA CASTILLA,A PIE
CENTRO,A PIE
LIBERTADOR,A PIE
20 DE JULIO,A PIE
BELEN,A PIE
MACARENA ALTA,A PIE
SAN SIMON PARTE ALTA,A PIE
VILLA CAFE,A PIE
VILLA HUERTAS,A PIE
LOS CAMBULOS,A PIE
SAN NICOLAS E3,TRANSPORTE PUBLICO
SAN FERNANDO NUEVO E19,A PIE
LILI E17,A PIE
GRANADA E2,MOTOCICLETA
GRANADA E2,MOTOCICLETA
ANTONIO NARINHO E16,VEHICULO
REPUBLICA ISRAEL E16,A PIE
UNICENTRO CALI E17,A PIE
VERSALLES E2,VEHICULO
EL LIMONAR E17,A PIE
VILLA DEL PRADO - EL GUABITO E5,A PIE
EL RETIRO E15,A PIE
SANTA ANITA E17,A PIE
DESEPAZ INVICALI E21,A PIE
CIUDAD CORDOBA E15,A PIE
LAS QUINTAS DE DON SIMON E17,A PIE
CANHAVERALEJO - SEGUROS P. E19,A PIE
CIUDAD DE LOS ALAMOS E2,A PIE
EL INGENIO E17,A PIE
SIETE DE AGOSTO E7,A PIE
SIETE DE AGOSTO E7,A PIE
COLOMBINA,A PIE
CENTRO,A PIE
CGTO CAMPOALEGRE,A PIE
PACHELLY,A PIE
ZONA CENTRO,A PIE
SAN MATEO,A PIE
EL PORTAL,A PIE
SAN JOSE,A PIE
VILLANUEVA C-10,A PIE
BARRIO COLOMBIA C-14,A PIE
CENTRO S.C.,A PIE
MANRIQUE 2  C-3,A PIE
NUEVA VILLA DE ABURRA C-16,A PIE
GIRARDOT C-5,A PIE
SIMESA C-14,A PIE
GRANIZAL C-1,A PIE
BARICHARA  S.A.P.,A PIE
EL DANUBIO C-12,A PIE
LA LOMA DE LOS BERNAL C-16,TRANSPORTE PUBLICO
CARIBE C-5,TRANSPORTE PUBLICO
CARIBE C-5,TRANSPORTE PUBLICO
CARIBE C-5,TRANSPORTE PUBLICO
CARIBE C-5,TRANSPORTE PUBLICO
CARIBE C-5,TRANSPORTE PUBLICO
EL DIAMANTE C-7,A PIE
FIZEBAT,A PIE
LA CONCEPCION,A PIE
SIMON BOLIVAR,A PIE
SANTO DOMINGO DE GUZMAN,A PIE
BELLAVISTA,VEHICULO
SAN ISIDRO,TRANSPORTE PUBLICO
SANTA MARIA,TRANSPORTE PUBLICO
CENTRO,A PIE
EL CARMEN,A PIE
LAS GAVIOTAS,A PIE
ALCIBIA,A PIE
BARRIO ASIS,A PIE
COJUNTO CERRADO LOMBARDIA,A PIE
BARRIO POPULAR,A PIE
ABBAS TURBAY,A PIE
LA PAZ,MOTOCICLETA
EL PORVENIR,A PIE
LA LIBERTAD,MOTOCICLETA
SANTO DOMINGO SABIO,A PIE
EL RECUERDO,A PIE
LA PAMBA,BICICLETA
CIUDADELA 450 ANHOS,MOTOCICLETA
YESQUITA,A PIE
VILLA CARIBE,A PIE
VILLA CARIBE,A PIE
INTERINDUSTRIAL E-9,A PIE
PALERMO E-2,TRANSPORTE PUBLICO
SAN CARLOS PREDIO SAN JOSE E-6,A PIE
TURINGIA E-11,A PIE
URB. LA ALQUERIA E-16,A PIE
GRAN BRITALIA E-7,TRANSPORTE PUBLICO
LA FAVORITA E-14,TRANSPORTE PUBLICO
CEDRO GOLF EL RODEO E-1,TRANSPORTE PUBLICO
QUINTA CAMACHO E-2,A PIE
SAN CRISTOBAL E-4,TRANSPORTE PUBLICO
RICAURTE E-14,A PIE
CIUDAD SALITRE II E-13,A PIE
COUNTRY PLAZA E-1,A PIE
GRANADA NORTE E-11,TRANSPORTE PUBLICO
SAN VICTORINO E-3,A PIE
CHAPINERO CENTRAL E-2,A PIE
CHAPINERO CENTRAL E-2,A PIE
LA FAVORITA E-14,A PIE
LA BELLEZA E-4,A PIE
TOBERIN ORIENTAL E-1,A PIE
SANTA MATILDE I SECTOR E-16,A PIE
GUSTAVO RESTREPO E-18,A PIE
LAGOS DE SUBA E-11,A PIE
SAN CRISTOBAL NORTE E-1,A PIE
PORTALES DEL NORTE E-11,A PIE
MARTIRES E-14,A PIE
BRASILL II SECTOR E-7,A PIE
LAS MARGARITAS E-8,A PIE
VILLA DEL PRADO E-11,TRANSPORTE PUBLICO
LA PORCIUNCULA E-2,TRANSPORTE PUBLICO
SANTA BARBARA ALTA I SECTOR E-1,A PIE
URB. SANTA FERENHA E-3,A PIE
JOSE JOAQUIN VARGAS E-12,A PIE
VEINTE DE JULIO E-4,TRANSPORTE PUBLICO
CAPELLANIA E-9,A PIE
EL LISTON E-14,A PIE
LA FAVORITA E-14,A PIE
GUSTAVO RESTREPO E-18,A PIE
ALTA BLANCA E-1,A PIE
SUCRE E-2,A PIE
ARBORIZADORA BAJA E-19,A PIE
URB. GRANJAS DE SAN PABLO E-18,A PIE
SAN IGNACIO E-10,A PIE
GALERIAS E-13,A PIE
LA FAVORITA E-14,A PIE
BACHUE E-10,A PIE
SANTA ISABEL E-14,A PIE
VERBENAL E-1,A PIE
LA ESTRELLITA E-1,A PIE
CENTRO,A PIE
LOS CAMBULOS,A PIE
CENTRO,A PIE
TEQUENDAMA,A PIE
TAMINACA 1 Y 2,A PIE
CENTRO,A PIE
LUIS CARLOS GALAN,A PIE
PLAYA RICA,A PIE
ROSA BLANCA,A PIE
BOSQUE,A PIE
VILLA SUAREZ,A PIE
SANTA CLARA,A PIE
CAICEDO BAJO,A PIE
EL PILAR,VEHICULO
ATAHUALPA,A PIE
SAN IGNACIO,A PIE
CENTRO,TRANSPORTE PUBLICO
CHAPAL,A PIE
CAICEDONIA,A PIE
SANTA BARBARA,A PIE
AGUALONGO,A PIE
BARRIO ZULIMA,A PIE
BARRIO CAOBOS,A PIE
BARRIO CLARET,A PIE
BARRIO CONTENTO,A PIE
CIUDADELA EL SOL,A PIE
LA MILAGROSA,A PIE
LA PAVONA,VEHICULO
CENTRO,A PIE
VDA.CRUCES,MOTOCICLETA
EL ROCIO,A PIE
POLICARPA,A PIE
POLICARPA,A PIE
FRAYLES,A PIE
CENTRO (A) PEREIRA,TRANSPORTE PUBLICO
CIUDAD BOQUIA,A PIE
CINCO DE OCTUBRE,A PIE
LAS PALMAS RIO OTUN,A PIE
B. CENTRO,A PIE
DIAMANTE II,A PIE
SAN MIGUEL,A PIE
MUTIS,A PIE
VILLA MERCEDES,A PIE
REGADERO NORTE,A PIE
CGTO. PALO BLANCO,-
CGTO. PALO BLANCO,-
LAS MARGARITAS,A PIE
CORREGIMIENTO JUANCHACO,A PIE
EL CALVARIO E3,A PIE
BENJAMIN HERRERA E8,MOTOCICLETA
PIZAMOS I E21,A PIE
UNION DE VIVIENDA POPULAR E16,A PIE
ULPIANO LLOREDA E13,A PIE
SILOE E20,A PIE
PIZAMOS I E21,A PIE
NUEVA TEQUENDAMA E19,TRANSPORTE PUBLICO
SAN FERNANDO VIEJO E19,A PIE
LOS COMUNEROS II E13,A PIE
EL CALVARIO E3,A PIE
CALIMA E4,A PIE
VERSALLES E2,TRANSPORTE PUBLICO
DIAMANTE E13,MOTOCICLETA
CANHAVERALES - LOS SAMANES E17,MOTOCICLETA
DIAMANTE E13,A PIE
TERRON COLORADO E1,A PIE
EL CEDRO E19,MOTOCICLETA
NUEVA TEQUENDAMA E19,A PIE
SIETE DE AGOSTO E7,A PIE
CANEY E17,VEHICULO
CANHAVERALES - LOS SAMANES E17,A PIE
CGTO MONTEBELLO E1,A PIE
EL PENHON E3,A PIE
SAN CRISTOBAL (23-3),A PIE
LOS ALAMOS,A PIE
RECREO,A PIE
BIZERTA,A PIE
GRANADA,A PIE
GRANADA,A PIE
ARROYOHONDO ZONA INDUSTRIAL (25-2),A PIE
LA ESTANCIA E25,A PIE
SAN FERNANDO,A PIE
SURAMERICANA C-11,A PIE
EL POBLADO C-14,A PIE
CASTROPOL C-14,A PIE
TOSCANA C-5,A PIE
GUAYAQUIL C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
SANTA TERESITA C-12,A PIE
SANTA TERESITA C-12,A PIE
EL POBLADO C-14,A PIE
EL POBLADO C-14,A PIE
LA ALPUJARRA C-10,A PIE
MORAVIA  C-4,A PIE
LA CANDELARIA C-10,A PIE
LOS ALPES C-16,A PIE
LA CANDELARIA C-10,A PIE
ALTOS DE RIOMAR,A PIE
RIOMAR,A PIE
EL ROSARIO,A PIE
LAS ESTRELLAS,TRANSPORTE PUBLICO
SAN JOSE,A PIE
LAS ESMERALDA,A PIE
LOS ALMENDROS II,A PIE
SALESIANO,A PIE
CIUDAD BETEL,A PIE
LOS ALISOS,A PIE
LA ARBOLEDA,A PIE
CENTRO,A PIE
MALHABAR,A PIE
CENTRO,A PIE
BARRIO GALERIAS,A PIE
EL PRADO,A PIE
LOS ALPES,A PIE
ABBAS TURBAY,A PIE
LA ALEMANIA,MOTOCICLETA
SAN MARTIN,A PIE
SAN MARTIN,A PIE
20 DE JULIO,A PIE
CEDRILLOS,A PIE
EL RECUERDO,A PIE
CENTRO,A PIE
LA ESMERALDA,A PIE
LA ESMERALDA,A PIE
LS TERRAZA,A PIE
ALFONSO LOPEZ,A PIE
OLAYA HERRERA,A PIE
SIMON BOLIVAR,MOTOCICLETA
LOS CASTILLOS,MOTOCICLETA
VIA MONTERIA -PLANETA RICA,A PIE
LA PRADERA,A PIE
EL CENTRO,A PIE
LA PRADERA,A PIE
ESTADERO DEL NORTE E-11,A PIE
EL SAUCEDAL E-8,TRANSPORTE PUBLICO
URB. CENTRO NARINHO E-13,A PIE
LAS DELICIAS DEL CARMEN E-10,A PIE
LOS SAUCES E-16,TRANSPORTE PUBLICO
EL RINCON E-11,A PIE
CHAPINERO ALTO E-2,TRANSPORTE PUBLICO
CHAPINERO CENTRAL E-2,TRANSPORTE PUBLICO
ARBORIZADORA BAJA E-19,A PIE
CHICO I E-2,A PIE
LA IGUALDAD E-8,A PIE
CLARETIANO E-7,A PIE
LA AMISTAD BOSA E-7,A PIE
URB. LA GUACA E-16,A PIE
CARVAJAL E-10,A PIE
CHAPINERO ALTO E-2,A PIE
CHICO NORTE II SECTOR E-1,A PIE
LA PAZ CENTRO E-3,TRANSPORTE PUBLICO
AURES II E-11,A PIE
SAN VICTORINO E-14,TRANSPORTE PUBLICO
VILLA DEL RIO E-7,A PIE
LA GIRALDA E-9,A PIE
LAS AGUAS E-17,TRANSPORTE PUBLICO
MARLY E-2,A PIE
SAMPER MENDOZA E-14,A PIE
SAN JOSE SUR E-18,A PIE
CHAPINERO ALTO E-2,A PIE
HIPOTECHO OCCIDENTAL E-8,TRANSPORTE PUBLICO
POLO CLUB E-12,A PIE
LLANO GRANDE E-8,TRANSPORTE PUBLICO
URB. EL CARMELO FAVIDI E-8,TRANSPORTE PUBLICO
LA ESPERANZA E-9,A PIE
MARIA PAZ E-8,A PIE
GALAN E-16,A PIE
ALQUERIA LA FRAGUA E-8,TRANSPORTE PUBLICO
LA GAITANA E-11,A PIE
VERSALLES E-9,A PIE
JOSE ANTONIO GALAN E-7,A PIE
ACEVEDO TEJADA E-13,TRANSPORTE PUBLICO
NUEVO MUZU I SECTOR E-6,A PIE
SAN LUIS E-13,A PIE
CHAPINERO ALTO E-2,A PIE
ACEVEDO TEJADA E-13,TRANSPORTE PUBLICO
BELLAVISTA E-8,A PIE
ESPANHA E-4,A PIE
CHICALA E-7,TRANSPORTE PUBLICO
SAUCEDAL E-8,A PIE
LA PERSEVERANCIA E-3,VEHICULO
LA CANDELARIA E-17,A PIE
EL MOTORISTA E-7,TRANSPORTE PUBLICO
DIANA TURBAY E-18,A PIE
BAVARIA E-8,A PIE
EL RETIRO E-2,A PIE
CENTRO,A PIE
SAN JOSE,A PIE
LIBERTADOR,A PIE
LIBERTADOR,A PIE
BARRIO EL CENTRO,A PIE
ARISMENDI MORA PERDOMO,A PIE
BAVARIA,A PIE
RIVERA DEL RIO,MOTOCICLETA
RODADERO TRADICIONAL,A PIE
BOLIVARIANA,A PIE
COVISAN,A PIE
LORENZO,A PIE
AV. LAS AMERICAS,A PIE
OBRERO,A PIE
VDA SAN FELIPE OBONUCO,A PIE
CATAMBUCO CENTRO,TRANSPORTE PUBLICO
CENTRO,A PIE
BARRIO LA PLAYA,TRANSPORTE PUBLICO
BARRIO CENTRO,A PIE
KIOSKOS,A PIE
CENTRO,A PIE
P.INDUSTRIAL B,TRANSPORTE PUBLICO
P.INDUSTRIAL B,TRANSPORTE PUBLICO
PEREIRA,A PIE
SECTOR AV 30 AGO ENTRE CL 48 Y 54,A PIE
PINARES,A PIE
3 DE OCTUBRE,A PIE
CIUDADELA PIPATON,A PIE
9 DE ABRIL,A PIE
CAMPO HERMOSO,TRANSPORTE PUBLICO
COMUNEROS,A PIE
BOLIVAR,VEHICULO
ALFONSO LOPEZ,A PIE
ALFONSO LOPEZ,MOTOCICLETA
VILLA MERCEDES,A PIE
COLORADOS,A PIE
COMUNEROS,A PIE
MEJORAS PUBLICAS,A PIE
LA UNIVERSIDAD,A PIE
EL PRADO,VEHICULO
MEJORAS PUBLICAS,A PIE
MONTE BLANCO,A PIE
PANORAMA,A PIE
LAGOS I,A PIE
URB. CATALUNHA,A PIE
LA FE,MOTOCICLETA
MAJAGUAL,TRANSPORTE PUBLICO
EL PEDRERO,A PIE
EL PEDRERO,A PIE
SAN SIMON PARTE BAJA,A PIE
INTERLAKEN,VEHICULO
RICAURTE PARTE ALTA,A PIE
SANTA HELENA,A PIE
SANTA HELENA,A PIE
CENTRO,A PIE
MARIANO RAMOS E16,A PIE
BRISAS DE LOS ALAMOS E2,A PIE
LOS LAGOS E13,A PIE
PAMPA LINDA E19,BICICLETA
CHAPINERO E8,A PIE
EL LIDO E19,A PIE
SAN NICOLAS E3,A PIE
LOS COMUNEROS II E13,MOTOCICLETA
SAN PEDRO E3,A PIE
URB. MILITAR E19,MOTOCICLETA
EL GRAN LIMONAR - CATAYA E17,A PIE
MELENDEZ E18,A PIE
NUEVA FLORESTA E12,A PIE
ANGEL DEL HOGAR E7,A PIE
LA MERCED E3,TRANSPORTE PUBLICO
CIUDAD DE LOS ALAMOS E2,A PIE
SAN JUDAS TADEO I E10,MOTOCICLETA
SANTA ROSA E3,A PIE
SILOE E20,A PIE
EL REFUGIO E19,A PIE
SALOMIA E4,A PIE
JUNIN E9,A PIE
VILLACOLOMBIA E8,VEHICULO
CALYPSO E13,MOTOCICLETA
EL LIDO E19,A PIE
VERSALLES E2,A PIE
CIPRES,A PIE
JOSE MARIA CABAL,A PIE
BARRIO NUEVO,A PIE
CIUDADELA DEL NORTE,A PIE
SAN JOSE,A PIE
SANTA MARIA # 2,A PIE
CONQUISTADORES C-11,A PIE
SURAMERICANA C-11,A PIE
LA ALPUJARRA C-10,A PIE
EL POBLADO C-14,A PIE
ROSALES C-16,A PIE
ESTACION VILLA C-10,A PIE
EL POBLADO C-14,A PIE
EL POBLADO C-14,A PIE
EL RODEO C-15,A PIE
EVERFIT C-5,A PIE
PARQUE NORTE C-4,A PIE
MANILA C-14,A PIE
LAURELES C-11,A PIE
SANTA ROSA DE LIMA C-13,VEHICULO
SANTA ROSA DE LIMA C-13,VEHICULO
JESUS NAZARENO C-10,A PIE
LA CANDELARIA C-10,TRANSPORTE PUBLICO
LA UNION,A PIE
LA PRADERA,A PIE
CENTRO,TRANSPORTE PUBLICO
SANTA ANA,A PIE
NUEVA GRANADA,A PIE
VILLA DEL CARMEN 1 ETAPA,A PIE
CENTRO,A PIE
LA CHINITA,MOTOCICLETA
VILLATE,VEHICULO
CASCAJAL,MOTOCICLETA
CASCAJAL,MOTOCICLETA
EL PARQUE,A PIE
BARRIO CHINO,A PIE
BARRIO CENTRO,A PIE
SUCRE,A PIE
VDA. EL TUNAL,TRANSPORTE PUBLICO
CONDOMINIO PARQUE EL NOGAL,A PIE
CONDOMINIO PARQUE EL NOGAL,A PIE
CONDOMINIO PARQUE EL NOGAL,A PIE
BARRIO PATRIOTAS,A PIE
SECTOR TRIANGULO,A PIE
PERALONSO,A PIE
CENTRO,A PIE
ISLADE JULIO SECTOR SIETE BAJO,A PIE
LA ESTRELLA,A PIE
EL VENTILADOR,A PIE
EL VENTILADOR,A PIE
PROVIVIENDA,A PIE
LICEO,A PIE
LA LADERA,A PIE
LA CAMPINHA,A PIE
ALFONSO LOPEZ,A PIE
CAMPO BELLO NORTE,A PIE
CENTRO,A PIE
EL PARAISO,A PIE
BARAHOJA,A PIE
BUENAVISTA,A PIE
BUENAVISTA,A PIE
MONTERIA MODERNO,A PIE
GUSTAVO RESTREPO E-18,A PIE
LA CATEDRAL E-17,A PIE
MULTICENTRO E-1,BICICLETA
QUIROGA IHS ETAPA E-18,A PIE
LAGO GAITAN E-2,A PIE
TEUSAQUILLO E-13,A PIE
LA ESPERANZA E-12,A PIE
BOSTON E-9,A PIE
MOLINOS DEL SUR E-18,A PIE
ARMENIA E-13,A PIE
URB. LOS EJIDOS E-16,A PIE
EL PINO E-11,A PIE
EL SOCORRO E-18,A PIE
PUENTE LARGO E-11,A PIE
TINTAL    E-8,TRANSPORTE PUBLICO
URB. COMPARTIR E-11,A PIE
PARQUE NACIONAL E-3,A PIE
LA URIBE E-1,A PIE
CONJUNTO RESIDENCIAL LA PRADERA E-1,VEHICULO
SANTA TERESA E-1,A PIE
LA CANDELARIA E-17,A PIE
LA IGUALDAD E-8,TRANSPORTE PUBLICO
MODELO E-12,A PIE
VEINTE DE JULIO E-4,A PIE
EL RESTREPO E-15,A PIE
CHAPINERO CENTRAL E-2,A PIE
CHAPINERO CENTRAL E-2,TRANSPORTE PUBLICO
VENECIA E-6,A PIE
LOURDES E-2,A PIE
GRAN BRITALIA E-8,A PIE
EMAUS E-2,A PIE
VILLAS DEL DORADO E-10,A PIE
SANTA ISABEL E-14,A PIE
SAN VICTORINO E-14,TRANSPORTE PUBLICO
URB. ELTEJAR E-16,A PIE
NICOLAS DE FEDERMAN E-13,A PIE
SANTA INES E-3,A PIE
BARRIOS UNIDOS E-12,A PIE
OLAYA E-18,A PIE
CHAPINERO CENTRAL E-2,A PIE
NUEVA GRANADA E-7,A PIE
ALAMOS SUR E-10,A PIE
