BARRIO,MARCA
YESQUITA,SAMSUNG
SANTA ANA,NOKIA
BOGOTA,SONY
MONTEVERDE,SAMSUNG
BALBOA,SAMSUNG
POLO CLUB E-12,HUAWEI
CASTILLA LA NUEVA E-8,AVVIO
LA CANDELARIA E-17,MOTOROLA
LA CANDELARIA E-17,SAMSUNG
LA CATEDRAL E-3,SAMSUNG
PATIO BONITO I E-8,ZTE
EL CAMPIN E-13,MOTOROLA
VEINTE DE JULIO E-4,ALCATEL
VENECIA E-6,SAMSUNG
VERAGUAS CENTRAL IV SECTOR E-16,SAMSUNG
SANTA MARIA DEL LAGO E-10,LENOVO
LOS ALPES E-4,ALCATEL
CHAPINERO ALTO E-2,SAMSUNG
LA AURORA E-12,HUAWEI
SAN CRISTOBAL E-4,LENOVO
OLAYA E-18,HUAWEI
ABRAHAM LINCON E-6,HUAWEI
CORDOBA E-4,ALCATEL
RESTREPO E-15,LG
GAITAN E-12,MOTOROLA
LOS CEDRITOS E-1,SAMSUNG
LA ESPERANZA E-12,ASUS
LOS ANDES E-12,HUAWEI
MANDALAY I ETAPA E-8,SAMSUNG
LA ESPERANZA E-7,MOTOROLA
VILLA ELISA E-11,SAMSUNG
LAS AMERICAS E-8,SAMSUNG
NAVARRA E-1,ALCATEL
7 DE AGOSTO E-12,APPLE
VILLAS DEL DORADO E-10,SAMSUNG
CIUDAD BERNA E-15,ALCATEL
SANTA ISABEL E-14,APPLE
ALAMEDA E-3,SAMSUNG
ENGATIVA E-10,SAMSUNG
PATIO BONITO I E-8,HUAWEI
CHICALA E-7,SAMSUNG
CASTILLA REAL     E-8,SAMSUNG
NAVARRA E-1,SAMSUNG
GOMEZ DAZA,MOTOROLA
IGUARAYA,HUAWEI
PARAISO,MOTOROLA
ALTICO,HUAWEI
SAN FRANCISCO DE ASIS,HUAWEI
ASENTAMIENTO LA PROVINCIA,HUAWEI
JARDIN,APPLE
PORTAL DE LA 19,HUAWEI
CORALINA,SAMSUNG
VILLA ORTIZ I,SAMSUNG
CENTRO,BLU
PLAZA DEL CARNAVAL,ALCATEL
MARILUZ,SAMSUNG
ESMERALDA,MOTOROLA
SAN IGNACIO,SAMSUNG
CHAPAL,MOTOROLA
CENTRO,LG
TEJAR,MOTOROLA
CHAPAL,SAMSUNG
AV. SANTANDER,SAMSUNG
FATIMA,HUAWEI
BARRIO LA PLAYA,APPLE
BARRIO CENTRO,SAMSUNG
BARRIO PATIO CENTRO,LANIX
LA SOLEDAD,ALCATEL
EL PROGRESO,SAMSUNG
SECTOR GOBERNACION,AZUMI
CENTRO (A) PEREIRA,APPLE
JOSE ANTONIO GALAN,SAMSUNG
ALCAZAR,SAMSUNG
LA AURORA,APPLE
SAN ALONSO,HUAWEI
SAN RAFAEL,MOTOROLA
LOS PINOS,MOTOROLA
MANUELA BELTRAN I,SAMSUNG
CABECERA DEL LLANO,SAMSUNG
SAN LUIS,SAMSUNG
EL CENTRO,SAMSUNG
URB. ALTOS DE BELLAVISTA,SAMSUNG
LA CUMBRE,ALCATEL
LAGOS I,HUAWEI
CHACARITA,MOTOROLA
NORMANDIAZ,HUAWEI
SAN RAFAEL,SAMSUNG
BELEN,ZTE
LAS FERIAS,SAMSUNG
JUAN 23,SAMSUNG
SUCRE E9,SAMSUNG
PARCELACIONES PANCE E22,SAMSUNG
SAN FERNANDO VIEJO E19,HUAWEI
SIETE DE AGOSTO E7,SAMSUNG
SUCRE E9,SAMSUNG
EL PENHON E3,OTRA
SAN PEDRO E3,ALCATEL
EUCARISTICO E19,SAMSUNG
EL CORTIJO E20,NOKIA
VERSALLES E2,MOTOROLA
SAN PEDRO E3,SAMSUNG
EL LIMONAR E17,SAMSUNG
EL SENA E5,HUAWEI
TERRON COLORADO E1,HUAWEI
PUEBLO NUEVO (27-1),HUAWEI
INDUSTRIAL,SAMSUNG
VERSALLES,SAMSUNG
LA TRINIDAD,SAMSUNG
CENTRO,HUAWEI
CENTRAL,APPLE
PEDREGAL,SAMSUNG
BUCAREST,HUAWEI
YARUMITO,NOKIA
SAN JUAN DE DIOS,SAMSUNG
LA CANDELARIA C-10,MOTOROLA
LA ROSA  C-2,HUAWEI
MORAVIA  C-4,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
GUAYABAL C-15,ASUS
ESTACION VILLA C-10,MOTOROLA
BARRIO COLOMBIA C-14,SAMSUNG
EL POBLADO C-14,SAMSUNG
CIUDADELA 20 DE JULIO,SAMSUNG
CENTRO,LG
MIRAMAR,APPLE
BOLIVAR,HUAWEI
LOS ALMENDROS,SAMSUNG
BARRIO CHINO,MOTOROLA
BARRIO SAN CARLOS,SAMSUNG
CENTRO,HUAWEI
CENTRO,AVVIO
PUERTA DEL SOL,SAMSUNG
SAN RAFAEL,SAMSUNG
VELEZ,MOTOROLA
UNIDOS,HUAWEI
TORRES DEL RIO,SAMSUNG
SAN IGNACIO,MOTOROLA
SAN MARTIN,LENOVO
TOBIAS DAZA,ZTE
12 DE OCTUBRE,APPLE
1º DE MAYO,SAMSUNG
LA UNIÒN,SAMSUNG
VILLA REAL,SAMSUNG
MOGAMBITO,SAMSUNG
SANTA ISABEL E-14,SAMSUNG
BOSQUES DE MODELIA E-9,HUAWEI
EL PINAR E-11,ALCATEL
NORMANDIA E-10,SAMSUNG
LOS CEDRITOS E-1,SAMSUNG
MINUTO DE DIOS E-10,LG
LA FAVORITA E-14,SAMSUNG
CANDELARIA III-IV E-19,SAMSUNG
URB. PONTEVEDRA I SECTOR E-11,SAMSUNG
GRAN BRITALIA E-8,SAMSUNG
SAN CRISTOBAL ALTO E-4,HUAWEI
BELLAVISTA SUR ORIENTAL E-4,SAMSUNG
LA CANDELARIA E-17,MOTOROLA
URB. MAZUREN I SECTOR E-11,ASUS
BARRIOS UNIDOS E-12,SAMSUNG
QUINTA RAMOS E-4,LG
EL RESTREPO E-15,HUAWEI
OLARTE E-7,HUAWEI
VILLA DEL RIO E-7,HUAWEI
EL LISTON E-14,SAMSUNG
POLO OCCIDENTAL E-12,SONY
URB. PUENTE ARANDA E-16,ALCATEL
LOS HAYUELOS E-9,MOTOROLA
TEUSAQUILLO E-13,HUAWEI
LA PORCIUNCULA E-2,HUAWEI
BOCHICA E-10,SAMSUNG
GAITAN E-12,APPLE
INDUSTRIAL CENTENARIO III SECTOR E-16,OTRA
PASADENA ROYAL E-11,ALCATEL
TEUSAQUILLO E-13,SAMSUNG
GORGONZOLA E-16,LANIX
LA FAVORITA E-14,BLU
GALERIAS E-13,SAMSUNG
TABORA E-10,SAMSUNG
LA ESPANHOLA E-10,HUAWEI
CHAPINERO CENTRAL E-2,LG
VERBENAL E-1,NOKIA
EL AMPARO E-8,MOTOROLA
JOSE ANTONIO GALAN E-7,ASUS
PORVENIR LA CONCEPCION E-7,SAMSUNG
CHICALA E-7,HUAWEI
LAS DELICIAS   E-8,SAMSUNG
LA ESTANZUELA E-14,NOKIA
CIUDAD KENNEDY SUR   E-8,HUAWEI
LUCERO ALTO E-19,ALCATEL
PORTAL DEL RINCON E-18,SAMSUNG
OLAYA E-18,SONY
CENTRO,LG
LAS TUNAS,SAMSUNG
CENTRO,APPLE
CUARTO CENTENARIO,SAMSUNG
GAIRA TRADICIONAL,LG
CENTRO,ZTE
VEREDA EL MEREY,MOTOROLA
CATATUMBO,LG
MORICHAL,APPLE
VILLA SUAREZ,SONY
SAN ISIDRO,SAMSUNG
LA CEIBA,ALCATEL
SANTA MONICA,HUAWEI
LAS LUNAS,HUAWEI
LAS LUNAS,MOTOROLA
LAS LUNAS,ALCATEL
SANTA MONICA,LENOVO
LA ROSA,HUAWEI
CENTRO,HUAWEI
LAS CORALINAS,SAMSUNG
BARRIO COLSAG,HUAWEI
BARRIO POPULAR,SAMSUNG
BARRIO QUINTA ORIENTAL,SAMSUNG
BARRIO SIGLO XXI,HUAWEI
BARRIO 28 DE FEBRERO,NOKIA
BARRIO LA CAPELLANA,HUAWEI
LA PRADERA,MOTOROLA
LA PRADERA,SAMSUNG
LA PRADERA,HUAWEI
LA PRADERA,APPLE
LA PRADERA,AVVIO
LA PRADERA,SONY
LA PRADERA,OTRA
SAN ANTONIO,ALCATEL
MALAGA,SAMSUNG
PLAZA CIVICA CIUDAD VICTORIA,SAMSUNG
PINARES DE SAN MARTIN,LG
EL CAMPESTRE,SAMSUNG
EL CAMPESTRE,SAMSUNG
PROVENZA,SAMSUNG
LA UNIVERSIDAD,SONY
NUEVA GRANADA,MOTOROLA
CABECERA DEL LLANO,SAMSUNG
ALFONSO LOPEZ,HUAWEI
SOTOMAYOR,SAMSUNG
MOLINOS BAJOS,MOTOROLA
BUCARICA,NOKIA
LAGOS II,SAMSUNG
SANTA CRUZ,SAMSUNG
JUNIN,MOTOROLA
CENTRO P/TA,MOTOROLA
ARRABAL,SAMSUNG
NUEVA CASTILLA,SAMSUNG
CENTRO,APPLE
LIBERTADOR,ALCATEL
20 DE JULIO,OTRA
BELEN,SAMSUNG
MACARENA ALTA,LG
SAN SIMON PARTE ALTA,MOTOROLA
VILLA CAFE,SAMSUNG
VILLA HUERTAS,AVVIO
LOS CAMBULOS,AVVIO
SAN NICOLAS E3,MOTOROLA
SAN FERNANDO NUEVO E19,SAMSUNG
LILI E17,SAMSUNG
GRANADA E2,HUAWEI
GRANADA E2,HUAWEI
ANTONIO NARINHO E16,SAMSUNG
REPUBLICA ISRAEL E16,HUAWEI
UNICENTRO CALI E17,SAMSUNG
VERSALLES E2,ALCATEL
EL LIMONAR E17,ALCATEL
VILLA DEL PRADO - EL GUABITO E5,MOTOROLA
EL RETIRO E15,SAMSUNG
SANTA ANITA E17,ALCATEL
DESEPAZ INVICALI E21,SAMSUNG
CIUDAD CORDOBA E15,SAMSUNG
LAS QUINTAS DE DON SIMON E17,APPLE
CANHAVERALEJO - SEGUROS P. E19,MOTOROLA
CIUDAD DE LOS ALAMOS E2,MOTOROLA
EL INGENIO E17,MOTOROLA
SIETE DE AGOSTO E7,SAMSUNG
SIETE DE AGOSTO E7,HUAWEI
COLOMBINA,SAMSUNG
CENTRO,LG
CGTO CAMPOALEGRE,LG
PACHELLY,LG
ZONA CENTRO,SAMSUNG
SAN MATEO,HUAWEI
EL PORTAL,HUAWEI
SAN JOSE,SAMSUNG
VILLANUEVA C-10,SAMSUNG
BARRIO COLOMBIA C-14,MOTOROLA
CENTRO S.C.,NOKIA
MANRIQUE 2  C-3,SAMSUNG
NUEVA VILLA DE ABURRA C-16,APPLE
GIRARDOT C-5,APPLE
SIMESA C-14,SAMSUNG
GRANIZAL C-1,MOTOROLA
BARICHARA  S.A.P.,SAMSUNG
EL DANUBIO C-12,SAMSUNG
LA LOMA DE LOS BERNAL C-16,HUAWEI
CARIBE C-5,HUAWEI
CARIBE C-5,MOTOROLA
CARIBE C-5,ALCATEL
CARIBE C-5,NOKIA
CARIBE C-5,AVVIO
EL DIAMANTE C-7,MOTOROLA
FIZEBAT,SAMSUNG
LA CONCEPCION,SAMSUNG
SIMON BOLIVAR,MOTOROLA
SANTO DOMINGO DE GUZMAN,HUAWEI
BELLAVISTA,MOTOROLA
SAN ISIDRO,ALCATEL
SANTA MARIA,ALCATEL
CENTRO,SAMSUNG
EL CARMEN,SAMSUNG
LAS GAVIOTAS,MOTOROLA
ALCIBIA,HUAWEI
BARRIO ASIS,AZUMI
COJUNTO CERRADO LOMBARDIA,LENOVO
BARRIO POPULAR,AVVIO
ABBAS TURBAY,ALCATEL
LA PAZ,SAMSUNG
EL PORVENIR,SONY
LA LIBERTAD,HUAWEI
SANTO DOMINGO SABIO,SAMSUNG
EL RECUERDO,MOTOROLA
LA PAMBA,HUAWEI
CIUDADELA 450 ANHOS,SAMSUNG
YESQUITA,SAMSUNG
VILLA CARIBE,SAMSUNG
VILLA CARIBE,ALCATEL
INTERINDUSTRIAL E-9,HUAWEI
PALERMO E-2,SAMSUNG
SAN CARLOS PREDIO SAN JOSE E-6,ALCATEL
TURINGIA E-11,MOTOROLA
URB. LA ALQUERIA E-16,ALCATEL
GRAN BRITALIA E-7,ASUS
LA FAVORITA E-14,LG
CEDRO GOLF EL RODEO E-1,APPLE
QUINTA CAMACHO E-2,HUAWEI
SAN CRISTOBAL E-4,HUAWEI
RICAURTE E-14,SAMSUNG
CIUDAD SALITRE II E-13,LG
COUNTRY PLAZA E-1,LENOVO
GRANADA NORTE E-11,APPLE
SAN VICTORINO E-3,SAMSUNG
CHAPINERO CENTRAL E-2,MOTOROLA
CHAPINERO CENTRAL E-2,SONY
LA FAVORITA E-14,SAMSUNG
LA BELLEZA E-4,AVVIO
TOBERIN ORIENTAL E-1,SAMSUNG
SANTA MATILDE I SECTOR E-16,SAMSUNG
GUSTAVO RESTREPO E-18,HUAWEI
LAGOS DE SUBA E-11,SAMSUNG
SAN CRISTOBAL NORTE E-1,SAMSUNG
PORTALES DEL NORTE E-11,MOTOROLA
MARTIRES E-14,HUAWEI
BRASILL II SECTOR E-7,SAMSUNG
LAS MARGARITAS E-8,HUAWEI
VILLA DEL PRADO E-11,HUAWEI
LA PORCIUNCULA E-2,LENOVO
SANTA BARBARA ALTA I SECTOR E-1,APPLE
URB. SANTA FERENHA E-3,SAMSUNG
JOSE JOAQUIN VARGAS E-12,SAMSUNG
VEINTE DE JULIO E-4,LG
CAPELLANIA E-9,SAMSUNG
EL LISTON E-14,MOTOROLA
LA FAVORITA E-14,SAMSUNG
GUSTAVO RESTREPO E-18,MOTOROLA
ALTA BLANCA E-1,MOTOROLA
SUCRE E-2,SAMSUNG
ARBORIZADORA BAJA E-19,SAMSUNG
URB. GRANJAS DE SAN PABLO E-18,HUAWEI
SAN IGNACIO E-10,SAMSUNG
GALERIAS E-13,LENOVO
LA FAVORITA E-14,HUAWEI
BACHUE E-10,SAMSUNG
SANTA ISABEL E-14,HUAWEI
VERBENAL E-1,APPLE
LA ESTRELLITA E-1,SAMSUNG
CENTRO,APPLE
LOS CAMBULOS,SAMSUNG
CENTRO,SAMSUNG
TEQUENDAMA,SAMSUNG
TAMINACA 1 Y 2,HUAWEI
CENTRO,SAMSUNG
LUIS CARLOS GALAN,MOTOROLA
PLAYA RICA,SAMSUNG
ROSA BLANCA,SAMSUNG
BOSQUE,SAMSUNG
VILLA SUAREZ,SAMSUNG
SANTA CLARA,SAMSUNG
CAICEDO BAJO,SAMSUNG
EL PILAR,HUAWEI
ATAHUALPA,HUAWEI
SAN IGNACIO,SAMSUNG
CENTRO,MOTOROLA
CHAPAL,SAMSUNG
CAICEDONIA,SAMSUNG
SANTA BARBARA,SAMSUNG
AGUALONGO,SAMSUNG
BARRIO ZULIMA,-
BARRIO CAOBOS,SAMSUNG
BARRIO CLARET,SAMSUNG
BARRIO CONTENTO,SAMSUNG
CIUDADELA EL SOL,NOKIA
LA MILAGROSA,HUAWEI
LA PAVONA,HUAWEI
CENTRO,HUAWEI
VDA.CRUCES,SAMSUNG
EL ROCIO,ALCATEL
POLICARPA,AVVIO
POLICARPA,SONY
FRAYLES,HUAWEI
CENTRO (A) PEREIRA,MOTOROLA
CIUDAD BOQUIA,MOTOROLA
CINCO DE OCTUBRE,HUAWEI
LAS PALMAS RIO OTUN,HUAWEI
B. CENTRO,HUAWEI
DIAMANTE II,SAMSUNG
SAN MIGUEL,SAMSUNG
MUTIS,HUAWEI
VILLA MERCEDES,AZUMI
REGADERO NORTE,SAMSUNG
CGTO. PALO BLANCO,HUAWEI
CGTO. PALO BLANCO,LANIX
LAS MARGARITAS,LG
CORREGIMIENTO JUANCHACO,APPLE
EL CALVARIO E3,SAMSUNG
BENJAMIN HERRERA E8,SAMSUNG
PIZAMOS I E21,SAMSUNG
UNION DE VIVIENDA POPULAR E16,AZUMI
ULPIANO LLOREDA E13,SAMSUNG
SILOE E20,LENOVO
PIZAMOS I E21,SAMSUNG
NUEVA TEQUENDAMA E19,MOTOROLA
SAN FERNANDO VIEJO E19,SAMSUNG
LOS COMUNEROS II E13,LANIX
EL CALVARIO E3,SAMSUNG
CALIMA E4,SAMSUNG
VERSALLES E2,MOTOROLA
DIAMANTE E13,NOKIA
CANHAVERALES - LOS SAMANES E17,SAMSUNG
DIAMANTE E13,MOTOROLA
TERRON COLORADO E1,SAMSUNG
EL CEDRO E19,SONY
NUEVA TEQUENDAMA E19,APPLE
SIETE DE AGOSTO E7,ALCATEL
CANEY E17,APPLE
CANHAVERALES - LOS SAMANES E17,SAMSUNG
CGTO MONTEBELLO E1,SAMSUNG
EL PENHON E3,SAMSUNG
SAN CRISTOBAL (23-3),MOTOROLA
LOS ALAMOS,APPLE
RECREO,ALCATEL
BIZERTA,ALCATEL
GRANADA,HUAWEI
GRANADA,BLU
ARROYOHONDO ZONA INDUSTRIAL (25-2),SAMSUNG
LA ESTANCIA E25,SAMSUNG
SAN FERNANDO,SAMSUNG
SURAMERICANA C-11,LENOVO
EL POBLADO C-14,SAMSUNG
CASTROPOL C-14,SAMSUNG
TOSCANA C-5,SAMSUNG
GUAYAQUIL C-10,SONY
LA CANDELARIA C-10,MOTOROLA
LA CANDELARIA C-10,OTRA
VILLANUEVA C-10,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
LA CANDELARIA C-10,MOTOROLA
SANTA TERESITA C-12,HUAWEI
SANTA TERESITA C-12,ASUS
EL POBLADO C-14,APPLE
EL POBLADO C-14,AZUMI
LA ALPUJARRA C-10,OTRA
MORAVIA  C-4,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
LOS ALPES C-16,MOTOROLA
LA CANDELARIA C-10,MOTOROLA
ALTOS DE RIOMAR,ASUS
RIOMAR,HUAWEI
EL ROSARIO,SAMSUNG
LAS ESTRELLAS,SAMSUNG
SAN JOSE,SAMSUNG
LAS ESMERALDA,MOTOROLA
LOS ALMENDROS II,SAMSUNG
SALESIANO,SAMSUNG
CIUDAD BETEL,NOKIA
LOS ALISOS,HUAWEI
LA ARBOLEDA,ALCATEL
CENTRO,MOTOROLA
MALHABAR,SAMSUNG
CENTRO,HUAWEI
BARRIO GALERIAS,SAMSUNG
EL PRADO,APPLE
LOS ALPES,SAMSUNG
ABBAS TURBAY,ALCATEL
LA ALEMANIA,OTRA
SAN MARTIN,MOTOROLA
SAN MARTIN,OTRA
20 DE JULIO,SAMSUNG
CEDRILLOS,ALCATEL
EL RECUERDO,SAMSUNG
CENTRO,HUAWEI
LA ESMERALDA,MOTOROLA
LA ESMERALDA,SAMSUNG
LS TERRAZA,MOTOROLA
ALFONSO LOPEZ,SAMSUNG
OLAYA HERRERA,SAMSUNG
SIMON BOLIVAR,SAMSUNG
LOS CASTILLOS,SAMSUNG
VIA MONTERIA -PLANETA RICA,ALCATEL
LA PRADERA,HUAWEI
EL CENTRO,SAMSUNG
LA PRADERA,SAMSUNG
ESTADERO DEL NORTE E-11,APPLE
EL SAUCEDAL E-8,ZTE
URB. CENTRO NARINHO E-13,APPLE
LAS DELICIAS DEL CARMEN E-10,MOTOROLA
LOS SAUCES E-16,SAMSUNG
EL RINCON E-11,HUAWEI
CHAPINERO ALTO E-2,LG
CHAPINERO CENTRAL E-2,ZTE
ARBORIZADORA BAJA E-19,HUAWEI
CHICO I E-2,SAMSUNG
LA IGUALDAD E-8,SAMSUNG
CLARETIANO E-7,HUAWEI
LA AMISTAD BOSA E-7,SAMSUNG
URB. LA GUACA E-16,MOTOROLA
CARVAJAL E-10,-
CHAPINERO ALTO E-2,SAMSUNG
CHICO NORTE II SECTOR E-1,SAMSUNG
LA PAZ CENTRO E-3,APPLE
AURES II E-11,SAMSUNG
SAN VICTORINO E-14,HUAWEI
VILLA DEL RIO E-7,HUAWEI
LA GIRALDA E-9,ASUS
LAS AGUAS E-17,SAMSUNG
MARLY E-2,MOTOROLA
SAMPER MENDOZA E-14,APPLE
SAN JOSE SUR E-18,SAMSUNG
CHAPINERO ALTO E-2,HUAWEI
HIPOTECHO OCCIDENTAL E-8,HUAWEI
POLO CLUB E-12,MOTOROLA
LLANO GRANDE E-8,SAMSUNG
URB. EL CARMELO FAVIDI E-8,SAMSUNG
LA ESPERANZA E-9,ALCATEL
MARIA PAZ E-8,SAMSUNG
GALAN E-16,SAMSUNG
ALQUERIA LA FRAGUA E-8,LENOVO
LA GAITANA E-11,SAMSUNG
VERSALLES E-9,HUAWEI
JOSE ANTONIO GALAN E-7,HUAWEI
ACEVEDO TEJADA E-13,ZTE
NUEVO MUZU I SECTOR E-6,MOTOROLA
SAN LUIS E-13,APPLE
CHAPINERO ALTO E-2,SAMSUNG
ACEVEDO TEJADA E-13,SAMSUNG
BELLAVISTA E-8,HUAWEI
ESPANHA E-4,HUAWEI
CHICALA E-7,HUAWEI
SAUCEDAL E-8,SAMSUNG
LA PERSEVERANCIA E-3,HUAWEI
LA CANDELARIA E-17,APPLE
EL MOTORISTA E-7,HUAWEI
DIANA TURBAY E-18,HUAWEI
BAVARIA E-8,HUAWEI
EL RETIRO E-2,SAMSUNG
CENTRO,HUAWEI
SAN JOSE,HUAWEI
LIBERTADOR,HUAWEI
LIBERTADOR,APPLE
BARRIO EL CENTRO,SAMSUNG
ARISMENDI MORA PERDOMO,SAMSUNG
BAVARIA,APPLE
RIVERA DEL RIO,SAMSUNG
RODADERO TRADICIONAL,MOTOROLA
BOLIVARIANA,SAMSUNG
COVISAN,HUAWEI
LORENZO,SAMSUNG
AV. LAS AMERICAS,HUAWEI
OBRERO,HUAWEI
VDA SAN FELIPE OBONUCO,MOTOROLA
CATAMBUCO CENTRO,HUAWEI
CENTRO,OTRA
BARRIO LA PLAYA,SAMSUNG
BARRIO CENTRO,HUAWEI
KIOSKOS,OTRA
CENTRO,SAMSUNG
P.INDUSTRIAL B,HUAWEI
P.INDUSTRIAL B,SAMSUNG
PEREIRA,SAMSUNG
SECTOR AV 30 AGO ENTRE CL 48 Y 54,SAMSUNG
PINARES,APPLE
3 DE OCTUBRE,HUAWEI
CIUDADELA PIPATON,HUAWEI
9 DE ABRIL,SAMSUNG
CAMPO HERMOSO,LG
COMUNEROS,HUAWEI
BOLIVAR,OTRA
ALFONSO LOPEZ,SAMSUNG
ALFONSO LOPEZ,SAMSUNG
VILLA MERCEDES,OTRA
COLORADOS,HUAWEI
COMUNEROS,HUAWEI
MEJORAS PUBLICAS,HUAWEI
LA UNIVERSIDAD,LG
EL PRADO,SAMSUNG
MEJORAS PUBLICAS,SAMSUNG
MONTE BLANCO,SAMSUNG
PANORAMA,HUAWEI
LAGOS I,SAMSUNG
URB. CATALUNHA,HUAWEI
LA FE,SAMSUNG
MAJAGUAL,HUAWEI
EL PEDRERO,SAMSUNG
EL PEDRERO,OTRA
SAN SIMON PARTE BAJA,SAMSUNG
INTERLAKEN,SAMSUNG
RICAURTE PARTE ALTA,SAMSUNG
SANTA HELENA,SAMSUNG
SANTA HELENA,ALCATEL
CENTRO,OTRA
MARIANO RAMOS E16,LENOVO
BRISAS DE LOS ALAMOS E2,SAMSUNG
LOS LAGOS E13,MOTOROLA
PAMPA LINDA E19,MOTOROLA
CHAPINERO E8,LG
EL LIDO E19,SAMSUNG
SAN NICOLAS E3,SAMSUNG
LOS COMUNEROS II E13,SAMSUNG
SAN PEDRO E3,SONY
URB. MILITAR E19,SAMSUNG
EL GRAN LIMONAR - CATAYA E17,SAMSUNG
MELENDEZ E18,ALCATEL
NUEVA FLORESTA E12,HUAWEI
ANGEL DEL HOGAR E7,ALCATEL
LA MERCED E3,HUAWEI
CIUDAD DE LOS ALAMOS E2,AVVIO
SAN JUDAS TADEO I E10,HUAWEI
SANTA ROSA E3,SAMSUNG
SILOE E20,HUAWEI
EL REFUGIO E19,APPLE
SALOMIA E4,SONY
JUNIN E9,SAMSUNG
VILLACOLOMBIA E8,HUAWEI
CALYPSO E13,SAMSUNG
EL LIDO E19,MOTOROLA
VERSALLES E2,SAMSUNG
CIPRES,SAMSUNG
JOSE MARIA CABAL,SAMSUNG
BARRIO NUEVO,APPLE
CIUDADELA DEL NORTE,SAMSUNG
SAN JOSE,LG
SANTA MARIA # 2,SAMSUNG
CONQUISTADORES C-11,APPLE
SURAMERICANA C-11,APPLE
LA ALPUJARRA C-10,SAMSUNG
EL POBLADO C-14,SAMSUNG
ROSALES C-16,HUAWEI
ESTACION VILLA C-10,SAMSUNG
EL POBLADO C-14,MOTOROLA
EL POBLADO C-14,SAMSUNG
EL RODEO C-15,LENOVO
EVERFIT C-5,SAMSUNG
PARQUE NORTE C-4,HUAWEI
MANILA C-14,SAMSUNG
LAURELES C-11,SAMSUNG
SANTA ROSA DE LIMA C-13,HUAWEI
SANTA ROSA DE LIMA C-13,MOTOROLA
JESUS NAZARENO C-10,HUAWEI
LA CANDELARIA C-10,LG
LA UNION,LENOVO
LA PRADERA,ALCATEL
CENTRO,ALCATEL
SANTA ANA,ALCATEL
NUEVA GRANADA,HUAWEI
VILLA DEL CARMEN 1 ETAPA,ALCATEL
CENTRO,HUAWEI
LA CHINITA,ALCATEL
VILLATE,SAMSUNG
CASCAJAL,HUAWEI
CASCAJAL,SAMSUNG
EL PARQUE,SAMSUNG
BARRIO CHINO,AVVIO
BARRIO CENTRO,SAMSUNG
SUCRE,HUAWEI
VDA. EL TUNAL,ALCATEL
CONDOMINIO PARQUE EL NOGAL,SAMSUNG
CONDOMINIO PARQUE EL NOGAL,SAMSUNG
CONDOMINIO PARQUE EL NOGAL,HUAWEI
BARRIO PATRIOTAS,HUAWEI
SECTOR TRIANGULO,HUAWEI
PERALONSO,SAMSUNG
CENTRO,APPLE
ISLADE JULIO SECTOR SIETE BAJO,HUAWEI
LA ESTRELLA,HUAWEI
EL VENTILADOR,SAMSUNG
EL VENTILADOR,ALCATEL
PROVIVIENDA,SAMSUNG
LICEO,SAMSUNG
LA LADERA,SAMSUNG
LA CAMPINHA,HUAWEI
ALFONSO LOPEZ,AVVIO
CAMPO BELLO NORTE,SAMSUNG
CENTRO,SAMSUNG
EL PARAISO,SAMSUNG
BARAHOJA,APPLE
BUENAVISTA,SAMSUNG
BUENAVISTA,ALCATEL
MONTERIA MODERNO,SAMSUNG
GUSTAVO RESTREPO E-18,LG
LA CATEDRAL E-17,HUAWEI
MULTICENTRO E-1,ALCATEL
QUIROGA IHS ETAPA E-18,MOTOROLA
LAGO GAITAN E-2,APPLE
TEUSAQUILLO E-13,ALCATEL
LA ESPERANZA E-12,MOTOROLA
BOSTON E-9,SAMSUNG
MOLINOS DEL SUR E-18,ALCATEL
ARMENIA E-13,SAMSUNG
URB. LOS EJIDOS E-16,SAMSUNG
EL PINO E-11,LG
EL SOCORRO E-18,-
PUENTE LARGO E-11,LG
TINTAL    E-8,MOTOROLA
URB. COMPARTIR E-11,MOTOROLA
PARQUE NACIONAL E-3,SAMSUNG
LA URIBE E-1,APPLE
CONJUNTO RESIDENCIAL LA PRADERA E-1,MOTOROLA
SANTA TERESA E-1,MOTOROLA
LA CANDELARIA E-17,AZUMI
LA IGUALDAD E-8,SAMSUNG
MODELO E-12,SAMSUNG
VEINTE DE JULIO E-4,SAMSUNG
EL RESTREPO E-15,SAMSUNG
CHAPINERO CENTRAL E-2,HUAWEI
CHAPINERO CENTRAL E-2,SAMSUNG
VENECIA E-6,SONY
LOURDES E-2,LENOVO
GRAN BRITALIA E-8,LANIX
EMAUS E-2,MOTOROLA
VILLAS DEL DORADO E-10,HUAWEI
SANTA ISABEL E-14,SAMSUNG
SAN VICTORINO E-14,LG
URB. ELTEJAR E-16,OTRA
NICOLAS DE FEDERMAN E-13,ALCATEL
SANTA INES E-3,APPLE
BARRIOS UNIDOS E-12,ALCATEL
OLAYA E-18,APPLE
CHAPINERO CENTRAL E-2,APPLE
NUEVA GRANADA E-7,MOTOROLA
ALAMOS SUR E-10,SAMSUNG
SAN DIEGO E-3,APPLE
RUBI E-11,SAMSUNG
SAN CRISTOBAL NORTE E-1,HUAWEI
