BARRIO,MARCA
SECTOR AV 30 AGO ENTRE CL 37 Y 41,SAMSUNG
SECTOR COMERCIAL,SAMSUNG
SANTA ISABEL,SAMSUNG
LA ESPERANZA,SAMSUNG
JARDINES DE COAVICONSA,SAMSUNG
NUEVO SOTOMAYOR,SAMSUNG
SAN RAFAEL,APPLE
SAN FRANCISCO,NOKIA
KENNEDY,LENOVO
LA PAZ E2,SAMSUNG
BUCARAMANGA,HUAWEI
LAGOS I,-
HACIENDA SAN JUAN,HUAWEI
CONVIVIR,SAMSUNG
CENTRO P/TA,OTRA
EL PROGRESO,HUAWEI
ESPANHA,SAMSUNG
HACIENDA PIEDRAPINTADA,HUAWEI
EL CARMEN,SAMSUNG
ESTACION,BLU
CADIZ,APPLE
TOLIMA GRANDE,APPLE
JORDAN MUTIFAMILIARES,HUAWEI
SANTA RITA,-
CENTRO,HUAWEI
VERSALLES E2,SAMSUNG
CIUDAD CAPRI E17,OTRA
LOS LAGOS E13,MOTOROLA
PRADOS DEL NORTE E2,SAMSUNG
CGTO LA VORAGINE E22,APPLE
PRADOS DEL NORTE E2,SAMSUNG
LOS LAGOS E13,AVVIO
VALLE GRANDE E21,HUAWEI
VILLA DEL LAGO E13,HUAWEI
ALTAMIRA,SAMSUNG
CENTRAL,HUAWEI
LAS FLORES,SAMSUNG
CAMILO CORTEZ,SAMSUNG
MARCELIANO CANYES,HUAWEI
EL CAUNZAL,SAMSUNG
MANZANAREZ,SAMSUNG
CIUDADELA DEL NORTE,SAMSUNG
CIUDADELA DEL NORTE,HUAWEI
CIUDADELA DEL NORTE,APPLE
BRISAS DE URABA,ALCATEL
LA MINA,LANIX
SAN JOSE,MOTOROLA
CENTRO,SAMSUNG
TRIANA,SAMSUNG
SANTA MARIA # 3,SAMSUNG
EL DORADO,HUAWEI
SEVILLA  C-4,SAMSUNG
LAURELES C-11,MOTOROLA
JARDIN BOTANICO  C-4,MOTOROLA
LOS CERROS EL VERGEL  C-9,HUAWEI
ASTORGA C-14,MOTOROLA
LA FRANCIA  C-2,HUAWEI
PRADO C-10,SAMSUNG
VILLANUEVA C-10,MOTOROLA
LOS PINOS C-12,MOTOROLA
ESTACION VILLA C-10,SAMSUNG
CORDOBA C-7,NOKIA
VILLANUEVA C-10,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
LA CANDELARIA C-10,ALCATEL
EL POBLADO C-14,SAMSUNG
ROSALES C-16,HUAWEI
DON BOSCO,MOTOROLA
SAN ROQUE,SAMSUNG
EL RECREO,HUAWEI
CENTRO,SAMSUNG
SILENCIO,SAMSUNG
CENTRO,SAMSUNG
REBOLO,ALCATEL
CIUDADELA 20 DE JULIO,SAMSUNG
BARRIO BOYACA ALTO,SAMSUNG
SANTANDER,APPLE
BARRIO CENTRO,SAMSUNG
SEVILLA,SAMSUNG
VILLA UNIVERSITARIA,HUAWEI
CENTRO,HUAWEI
VDA PURNIO,HUAWEI
SECTOR EL CABLE,ASUS
SECTOR EL CABLE,SAMSUNG
CENTRO,SAMSUNG
SECTOR BELLAS ARTES,HUAWEI
CENTRO,MOTOROLA
SECTOR EL CABLE,LG
CENTRO,SAMSUNG
CENTRO,HUAWEI
SECTOR EL CABLE,HUAWEI
SECTOR EL CABLE,SAMSUNG
EL RAICERO,SONY
VILLAMONICA,APPLE
EL CENTRO,NOKIA
VILLA MARIA,APPLE
LUIS MARIA JIMENEZ,SAMSUNG
HOBO,SAMSUNG
LOS ALMENDROS,SAMSUNG
LOS ALMENDROS,SAMSUNG
URBANIZACION PERPETUO SOCORRO,MOTOROLA
VEREDA,OTRA
GALAN,MOTOROLA
URB. LA RIVIERA,SAMSUNG
CHUCHURUBI,-
SIMON BOLIVAR,HUAWEI
LA ESTRADA E-10,-
LOS CEDRITOS E-1,-
LA CAPUCHINA E-3,SAMSUNG
RESTREPO E-15,-
LA GIRALDA E-9,-
LAGO GAITAN E-2,-
LAS DELICIAS   E-8,-
NIZA XII E-11,-
SANTA MATILDE I SECTOR E-16,-
SAMPER E-3,-
BOSQUE CALDERON E-2,MOTOROLA
POLO CLUB E-12,ALCATEL
SANTA ISABEL E-14,-
PATIO BONITO I E-8,SAMSUNG
SAN ANTONIO E-15,HUAWEI
CHICO I E-2,-
EL CENTENARIO E-18,-
TINTAL    E-8,SAMSUNG
VILLA DEL RINCON E-11,AVVIO
CENTRO ANTONIO NARINHO E-13,-
VENECIA E-6,-
QUIROGA IHS ETAPA E-18,HUAWEI
CHAPINERO CENTRAL E-2,-
URB. MANUELA BELTRAN E-19,SAMSUNG
URB. LA PUERTA DEL SOL E-11,-
CHICO I E-2,-
MARIA PAZ E-8,OTRA
CHICO NAVARRA E-1,HUAWEI
URB. CLARET EL CARMEN E-6,-
MARIA PAZ E-8,MOTOROLA
LAS MARGARITAS E-8,LG
QUIROGA VII ETAPA E-18,MOTOROLA
GALAN,SONY
CENTRO,HUAWEI
BARRIO LA ESPERANZA,SONY
URBANIZACION EL TESORO,SAMSUNG
URBANIZACION EL TESORO,SAMSUNG
SAN FRANCISCO DE ASIS,SAMSUNG
SAN FRANCISCO DE ASIS,AZUMI
RAFAEL AZUERO MANCHOLA,MOTOROLA
SUCRE,SAMSUNG
LOS PINOS,SAMSUNG
TEYUNA,MOTOROLA
DON DIEGO,ASUS
CENTRO,ASUS
RODADERO TRADICIONAL,NOKIA
CENTRO,SAMSUNG
VEREDA BARCELONA,SAMSUNG
COMUNEROS,SAMSUNG
LA ESPERANZA VII ETAPA,SAMSUNG
CAUDAL ORIENTAL,ZTE
