MUNICIPIO,BARRIO
VILLAVICENCIO (CT),PIAMONTE
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),MONTECARLO
VILLAVICENCIO (CT),GAVIOTAS
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),VEREDA APIAY
IPIALES,20 DE JULIO
IPIALES,CENTRO
IPIALES,SAN FELIPE
IPIALES,CENTRO
IPIALES,20 DE JULIO
IPIALES,20 DE JULIO
IPIALES,CENTRO
IPIALES,OBRERO
IPIALES,SANTANDER
PASTO (CT),CENTRO
PASTO (CT),EMILIO BOTERO
PASTO (CT),SAN ANDRES
PASTO (CT),CENTRO
PASTO (CT),CENTRO
PASTO (CT),PANORAMICO I ETAPA
PASTO (CT),CENTRO
CUCUTA (CT),BARRIO CALLEJON
CUCUTA (CT),BARRIO BELLAVISTA
MOCOA (CT),SUBESTACION SAN JUAN DE VILLALOBOS
PUERTO ASIS,EL CENTRO
ARMENIA (CT),NUEVA ARMENIA
ARMENIA (CT),ACACIAS
ARMENIA (CT),BOSQUES DE PINARES
ARMENIA (CT),CENTRO
ARMENIA (CT),BUENOS AIRES
CALARCA,SAGUANES
DOSQUEBRADAS,SAN DIEGO
LA VIRGINIA,BAYRON GAVIRIA
PEREIRA (CT),TURIN
PEREIRA (CT),VDA. EL MANZANO
PEREIRA (CT),SANTA TERESITA
PEREIRA (CT),SECTOR PARQUE EL LAGO
PEREIRA (CT),ALFONSO LOPEZ
SANTA ROSA DE CABAL,B. SAN FRANCISCO
BARRANCABERMEJA,GALAN GOMEZ
BUCARAMANGA (CT),NARINHO
BUCARAMANGA (CT),NARINHO
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),CLAVERIANO
ESPINAL,RONDON
ESPINAL,ASOBETANIA
GUAMO,VILLA ANGELICA
IBAGUE (CT),KENEDY
IBAGUE (CT),CENTRO
IBAGUE (CT),JARDIN II ETAPA
IBAGUE (CT),JORDAN MUTIFAMILIARES
IBAGUE (CT),ONZAGA
IBAGUE (CT),LA MANSION
IBAGUE (CT),KENEDY
IBAGUE (CT),MACARENA ALTA
LERIDA,EL JORDAN
CALI (CT),LOS LAGOS E13
CALI (CT),MORICHAL DE COMFANDI E15
CALI (CT),SAN LUIS E6
CALI (CT),CRISTOBAL COLON E10
CALI (CT),PARCELACIONES PANCE E22
CALI (CT),ALAMEDA E9
CALI (CT),PARCELACIONES PANCE E22
CALI (CT),ALFONSO BARBERENA E12
CALI (CT),EL INGENIO E17
CALI (CT),ALFONSO B. ARAGON E14
CALI (CT),SAN FERNANDO VIEJO E19
CALI (CT),EL SENA E5
CALI (CT),PARCELACIONES PANCE E22
CALI (CT),PRIMERO DE MAYO E17
CANDELARIA,PANAMERICANO (23-2)
PALMIRA,VIA CENCAR - AEREOPUERTO
TULUA,FRANCISCANOS
TULUA,LAS DELICIAS
YUMBO,VIA YUMBO DAPA (25-8)
YUMBO,VIA YUMBO DAPA (25-8)
YUMBO,BELALCAZAR E25
LETICIA (CT),SIMON BOLIVAR
LETICIA (CT),CENTRO (LETICIA)
ABEJORRAL,PARQUE PRINCIPAL
BELLO,LA MADERA
ITAGUI,SANTA MARIA # 3
MARINILLA,LA CIUDADELA
MARINILLA,LA CIUDADELA
MEDELLIN (CT),CAMPO VALDES 1  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),ARANJUEZ  C-4
MEDELLIN (CT),BARRIO COLOMBIA C-14
