FECHA,MUNICIPIO
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,CALARCA
ENERO,DOSQUEBRADAS
ENERO,LA VIRGINIA
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,SANTA ROSA DE CABAL
ENERO,BARRANCABERMEJA
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,ESPINAL
ENERO,ESPINAL
ENERO,GUAMO
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,LERIDA
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CANDELARIA
ENERO,PALMIRA
ENERO,TULUA
ENERO,TULUA
ENERO,YUMBO
ENERO,YUMBO
ENERO,YUMBO
ENERO,LETICIA (CT)
ENERO,LETICIA (CT)
ENERO,ABEJORRAL
ENERO,BELLO
ENERO,ITAGUI
ENERO,MARINILLA
ENERO,MARINILLA
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,RIONEGRO
ENERO,RIONEGRO
ENERO,RIONEGRO
ENERO,ARAUCA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,SOGAMOSO
ENERO,TIBASOSA
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,SANTANDER DE QUILICHAO
ENERO,AGUACHICA
ENERO,VALLEDUPAR (CT)
ENERO,VALLEDUPAR (CT)
ENERO,QUIBDO (CT)
ENERO,QUIBDO (CT)
ENERO,TIERRALTA
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,NILO
ENERO,MAICAO
ENERO,MAICAO
ENERO,MAICAO
ENERO,MAICAO
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,SAN ANDRES DE TUMACO
ENERO,TUQUERRES
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,OCANHA
ENERO,SAN CAYETANO
ENERO,MOCOA (CT)
ENERO,MOCOA (CT)
ENERO,MOCOA (CT)
ENERO,SANTIAGO
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,CALARCA
ENERO,CALARCA
ENERO,DOSQUEBRADAS
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,BARRANCABERMEJA
ENERO,BARRANCABERMEJA
ENERO,BARRANCABERMEJA
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,CALI (CT)
ENERO,BUCARAMANGA (CT)
ENERO,FLORIDABLANCA
ENERO,FLORIDABLANCA
ENERO,GIRON
ENERO,PIEDECUESTA
ENERO,SANTIAGO DE TOLU
ENERO,SINCELEJO (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,MELGAR
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,PALMIRA
ENERO,PALMIRA
ENERO,PALMIRA
ENERO,PUERTO CARRENHO (CT)
ENERO,LETICIA (CT)
ENERO,ABEJORRAL
ENERO,APARTADO
ENERO,BELLO
ENERO,BELLO
ENERO,BELLO
ENERO,CHIGORODO
ENERO,ENVIGADO
ENERO,ENVIGADO
ENERO,ITAGUI
ENERO,ITAGUI
ENERO,ITAGUI
ENERO,LA ESTRELLA
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,BARRANQUILLA (CT)
ENERO,CHIQUINQUIRA
ENERO,DUITAMA
ENERO,DUITAMA
ENERO,DUITAMA
ENERO,TUNJA (CT)
ENERO,TUNJA (CT)
ENERO,LA DORADA
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,MANIZALES (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,FLORENCIA (CT)
ENERO,AGUAZUL
ENERO,YOPAL (CT)
ENERO,YOPAL (CT)
ENERO,YOPAL (CT)
ENERO,POPAYAN (CT)
ENERO,BECERRIL
ENERO,VALLEDUPAR (CT)
ENERO,VALLEDUPAR (CT)
ENERO,MONTERIA (CT)
ENERO,AGUA DE DIOS
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,FUSAGASUGA
ENERO,SOACHA
ENERO,SAN JOSE DEL GUAVIARE (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,PITALITO
ENERO,PITALITO
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,PUERTO LOPEZ
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,IPIALES
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,LOS PATIOS
ENERO,OCANHA
ENERO,OCANHA
ENERO,MOCOA (CT)
ENERO,ARMENIA (CT)
ENERO,CALARCA
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,SANTA ROSA DE CABAL
ENERO,SANTA ROSA DE CABAL
ENERO,BARRANCABERMEJA
ENERO,BARRANCABERMEJA
ENERO,BARRANCABERMEJA
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,FLORIDABLANCA
ENERO,FLORIDABLANCA
ENERO,GIRON
ENERO,SAN BENITO ABAD
ENERO,SAN MARCOS
ENERO,SINCELEJO (CT)
ENERO,SINCELEJO (CT)
ENERO,SINCELEJO (CT)
ENERO,SINCELEJO (CT)
ENERO,SINCELEJO (CT)
ENERO,CHAPARRAL
ENERO,CHAPARRAL
ENERO,GUAMO
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,IBAGUE (CT)
ENERO,PURIFICACION
ENERO,ROVIRA
ENERO,ALCALA
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CANDELARIA
ENERO,GUADALAJARA DE BUGA
