MUNICIPIO,HORA
PEREIRA (CT),TARDE
BARRANCABERMEJA,NOCHE
BARRANCABERMEJA,MADRUGADA
BARRANCABERMEJA,TARDE
BUCARAMANGA (CT),MOVILIZACIONVESPERTINA
BUCARAMANGA (CT),MOVILIZACIONVESPERTINA
BUCARAMANGA (CT),MOVILIZACIONVESPERTINA
BUCARAMANGA (CT),MOVILIZACIONVESPERTINA
BUCARAMANGA (CT),MANHANA
CALI (CT),NOCHE
BUCARAMANGA (CT),ALMUERZO
FLORIDABLANCA,MOVILIZACIONVESPERTINA
FLORIDABLANCA,MOVILIZACIONVESPERTINA
GIRON,TARDE
PIEDECUESTA,MOVILIZACIONVESPERTINA
SANTIAGO DE TOLU,NOCHE
SINCELEJO (CT),MOVILIZACIONVESPERTINA
IBAGUE (CT),NOCHE
IBAGUE (CT),MOVILIZACIONVESPERTINA
IBAGUE (CT),TARDE
IBAGUE (CT),MANHANA
IBAGUE (CT),NOCHE
IBAGUE (CT),MADRUGADA
IBAGUE (CT),ALMUERZO
MELGAR,MANHANA
CALI (CT),ALMUERZO
CALI (CT),TARDE
CALI (CT),TARDE
CALI (CT),ALMUERZO
CALI (CT),ALMUERZO
CALI (CT),MOVILIZACIONVESPERTINA
CALI (CT),NOCHE
CALI (CT),MADRUGADA
CALI (CT),ALMUERZO
PALMIRA,NOCHE
PALMIRA,TARDE
PALMIRA,NOCHE
PUERTO CARRENHO (CT),MOVILIZACIONVESPERTINA
LETICIA (CT),MADRUGADA
ABEJORRAL,ALMUERZO
APARTADO,MANHANA
BELLO,MOVILIZACIONVESPERTINA
BELLO,MANHANA
BELLO,NOCHE
CHIGORODO,MADRUGADA
ENVIGADO,MANHANA
ENVIGADO,MANHANA
ITAGUI,MANHANA
ITAGUI,TARDE
ITAGUI,NOCHE
LA ESTRELLA,MOVILIZACIONVESPERTINA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MANHANA
MEDELLIN (CT),TARDE
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),TARDE
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MANHANA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),ALMUERZO
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MADRUGADA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MANHANA
MEDELLIN (CT),NOCHE
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),NOCHE
BARRANQUILLA (CT),MOVILIZACIONVESPERTINA
BARRANQUILLA (CT),MADRUGADA
BARRANQUILLA (CT),MANHANA
BARRANQUILLA (CT),MOVILIZACIONVESPERTINA
BARRANQUILLA (CT),MOVILIZACIONVESPERTINA
CHIQUINQUIRA,MANHANA
DUITAMA,MOVILIZACIONVESPERTINA
DUITAMA,MADRUGADA
DUITAMA,TARDE
TUNJA (CT),NOCHE
TUNJA (CT),MANHANA
LA DORADA,MADRUGADA
MANIZALES (CT),TARDE
MANIZALES (CT),TARDE
MANIZALES (CT),TARDE
MANIZALES (CT),TARDE
MANIZALES (CT),NOCHE
MANIZALES (CT),MADRUGADA
MANIZALES (CT),TARDE
MANIZALES (CT),ALMUERZO
MANIZALES (CT),NOCHE
MANIZALES (CT),NOCHE
FLORENCIA (CT),TARDE
FLORENCIA (CT),NOCHE
FLORENCIA (CT),NOCHE
FLORENCIA (CT),NOCHE
AGUAZUL,NOCHE
YOPAL (CT),NOCHE
YOPAL (CT),MADRUGADA
YOPAL (CT),MADRUGADA
POPAYAN (CT),ALMUERZO
BECERRIL,MADRUGADA
VALLEDUPAR (CT),MOVILIZACIONVESPERTINA
VALLEDUPAR (CT),NOCHE
MONTERIA (CT),TARDE
AGUA DE DIOS,NOCHE
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),MANHANA
