MUNICIPIO,DIA
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
BOGOTA D.C. (CT),MIERCOLES
NILO,MIERCOLES
MAICAO,MIERCOLES
MAICAO,MIERCOLES
MAICAO,MIERCOLES
MAICAO,MIERCOLES
NEIVA (CT),MIERCOLES
NEIVA (CT),MIERCOLES
NEIVA (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
VILLAVICENCIO (CT),MIERCOLES
IPIALES,MIERCOLES
IPIALES,MIERCOLES
IPIALES,MIERCOLES
IPIALES,MIERCOLES
IPIALES,MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
PASTO (CT),MIERCOLES
SAN ANDRES DE TUMACO,MIERCOLES
TUQUERRES,MIERCOLES
CUCUTA (CT),MIERCOLES
CUCUTA (CT),MIERCOLES
CUCUTA (CT),MIERCOLES
CUCUTA (CT),MIERCOLES
OCANHA,MIERCOLES
SAN CAYETANO,MIERCOLES
MOCOA (CT),MIERCOLES
MOCOA (CT),MIERCOLES
MOCOA (CT),MIERCOLES
SANTIAGO,MIERCOLES
ARMENIA (CT),MIERCOLES
ARMENIA (CT),MIERCOLES
CALARCA,MIERCOLES
CALARCA,MIERCOLES
DOSQUEBRADAS,MIERCOLES
PEREIRA (CT),MIERCOLES
PEREIRA (CT),MIERCOLES
BARRANCABERMEJA,MIERCOLES
BARRANCABERMEJA,MIERCOLES
BARRANCABERMEJA,MIERCOLES
BUCARAMANGA (CT),MIERCOLES
BUCARAMANGA (CT),MIERCOLES
BUCARAMANGA (CT),MIERCOLES
BUCARAMANGA (CT),MIERCOLES
BUCARAMANGA (CT),MIERCOLES
CALI (CT),MIERCOLES
BUCARAMANGA (CT),MIERCOLES
FLORIDABLANCA,MIERCOLES
FLORIDABLANCA,MIERCOLES
GIRON,MIERCOLES
PIEDECUESTA,MIERCOLES
SANTIAGO DE TOLU,MIERCOLES
SINCELEJO (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
IBAGUE (CT),MIERCOLES
MELGAR,MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
CALI (CT),MIERCOLES
PALMIRA,MIERCOLES
PALMIRA,MIERCOLES
PALMIRA,MIERCOLES
PUERTO CARRENHO (CT),MIERCOLES
LETICIA (CT),JUEVES
ABEJORRAL,JUEVES
APARTADO,JUEVES
BELLO,JUEVES
BELLO,JUEVES
BELLO,JUEVES
CHIGORODO,JUEVES
ENVIGADO,JUEVES
ENVIGADO,JUEVES
ITAGUI,JUEVES
ITAGUI,JUEVES
ITAGUI,JUEVES
LA ESTRELLA,JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
MEDELLIN (CT),JUEVES
